case_id,task,machine_evidence_status,human_judgment,human_added_information,added_information_type,evidence_already_exists,evidence_exposed,human_document_access_required,human_explanation_required,evidence_anchor_possible,provenance_possible,case_specific_only,reusable_signal_candidate,semantic_boundary_status,burden_level,notes
is11_efficientnet_p4_55_218,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p8_55_213,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p6_478_168,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_med_001_p13_85_307,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p2_87_158,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p8_328_261,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p3_319_69,Text-Drawing Association (T1),INSUFFICIENT (G2: DEF=0),UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,PARTIAL,PARTIAL,YES,NO,G5_CANDIDATE,HIGH,case_type=Type_A_negative; e1_state=PRIMITIVES_NO_EXTENT; judgment=uncertain
arxiv_2402.18619_p15_498_182,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=uncertain
is11_med_001_p16_85_484,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p14_72_243,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p17_184_561,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p24_72_646,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
is11_resnet_p8_50_328,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p28_457_234,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p17_121_581,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p18_346_73,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=uncertain
is11_efficientnet_p8_307_390,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed spatial association = caption association,SEMANTIC_CONFIRMATION,YES,YES,NO,NO,YES,YES,PARTIAL,CONDITIONAL,NOT_BOUNDARY,LOW,case_type=caption_like; e1_state=EXTENT_EXISTS; judgment=yes
arxiv_2402.18619_p28_479_214,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p4_66_331,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,UNCERTAIN,Human uncertain even with complete evidence — semantic interpretation needed,SEMANTIC_INTERPRETATION,YES,YES,YES,YES,YES,YES,YES,NO,G5_POSSIBLE_BOUNDARY,HIGH,case_type=Type_A_negative; e1_state=EXTENT_EXISTS; judgment=uncertain
is11_cs_001_p5_292_225,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Used existing evidence,EXISTING_EVIDENCE,YES,YES,NO,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=Type_B_negative; e1_state=EXTENT_EXISTS; judgment=yes
is11_efficientnet_p6_511_629,Text-Drawing Association (T1),SUFFICIENT_FOR_STRUCTURAL,YES (associated),Confirmed using existing spatial evidence + context,EXISTING_EVIDENCE,YES,YES,MAYBE,NO,YES,YES,NO,YES,NOT_BOUNDARY,LOW,case_type=ambiguous_fragment; e1_state=EXTENT_EXISTS; judgment=yes
