case_id,document_type,problem_type,G1_fit,G2_fit,G3_fit,G4_fit,G5_fit,outlier_reason,existing_gap_boundary_case,potential_new_gap,independent_supporting_cases
DG2-FIN-001,corporate_industry_report,toc_page_number_separation,NO,YES,PARTIAL,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-002,corporate_industry_report,committee_member_affiliation_fragmentation,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-003,corporate_industry_report,ranking_table_7column_flat,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-004,corporate_industry_report,bar_chart_raster_vertical_text,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-005,corporate_industry_report,multi_year_comparison_table_spanning,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-006,corporate_industry_report,lifecycle_table_3column,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-007,corporate_industry_report,lifecycle_chart_raster,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-008,corporate_industry_report,sentiment_table_4column_spanning,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-009,corporate_industry_report,expert_category_table_5column,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-010,corporate_industry_report,voting_demographic_table_6column_spanning,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-011,corporate_industry_report,running_header_content_mixing,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-012,corporate_industry_report,bar_chart_raster_axis_labels,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-013,corporate_industry_report,unit_type_table_5column_spanning,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-014,corporate_industry_report,ownership_type_table_4column_spanning,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-015,corporate_industry_report,cross_category_comparison_table_10column,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-016,corporate_industry_report,comparison_bar_chart_raster_2023_2024,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-017,corporate_industry_report,ranking_change_arrows_fragmented,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-FIN-018,corporate_industry_report,technology_name_vertical_split,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-MIS-001,educational_presentation,contents_section_flat_list,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-MIS-002,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-MIS-003,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-MIS-004,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-MIS-005,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G1),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-MIS-006,educational_presentation,slide_page_number_as_content,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,3 documents
DG2-MIS-007,educational_presentation,bullet_hierarchy_lost,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,2 documents
DG2-AUD-001,educational_textbook,contents_section_separate_blocks,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-AUD-002,educational_textbook,case_study_context_lost,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-AUD-003,educational_textbook,bullet_hierarchy_lost,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,2 documents
DG2-AUD-004,educational_textbook,slide_page_number_as_content,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,3 documents
DG2-AUD-005,educational_textbook,definition_term_value_separation,NO,YES,NO,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-CH3-001,educational_textbook,toc_section_number_separation,NO,YES,PARTIAL,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-CH3-002,educational_textbook,slide_footer_marker_mixing,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-CH3-003,educational_textbook,bullet_marker_hierarchy_lost,NO,YES,PARTIAL,NO,NO,FITS_EXISTING_GAP,YES (fits G2),NOT_A_NEW_GAP,SINGLE_DOCUMENT
DG2-CH3-004,educational_textbook,slide_page_number_as_content,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,3 documents
DG2-CH3-005,educational_textbook,supplementary_content_boundary_lost,NO,NO,YES,NO,NO,FITS_EXISTING_GAP,YES (fits G3),NOT_A_NEW_GAP,SINGLE_DOCUMENT
