case_id,source,document_id,document_type,problem_type,human_task,original_judgment,G1_G5,G1_G5_SECONDARY,available_evidence,organized_evidence,presented_evidence,consumer_received_evidence,human_sufficiency_status,supported_claim,unsupported_claim,boundary_status
IS11-AMB-135,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,system_fp,G4,G2,"YES (P1 text + P2 geometry: left_alignment_group=10, h_gap=30.02)",YES (evidence organized),YES (presented),NO (presented but consumer didn't use it),INDETERMINATE,Potentially a structural judgment (if consumer used evidence),Semantic identity (not supported by structural evidence alone),"NOT_BOUNDARY (consumer integration gap, not evidence boundary)"
IS11-AMB-130,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_header_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,"PARTIAL (P1 text, P2 geometry; TLD=0 tables)",NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-262,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_column_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,"PARTIAL (P1 text, P2 geometry; TLD=0 tables)",NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-313,G1G5_VALIDATION,is11_efficientnet,academic_paper_cs,table_header_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G2,G4,"PARTIAL (P1 text, P2 geometry; TLD=0 tables)",NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-375,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,prose_sentence_boundary,T2_BOUNDARY_DECISION,ABSTAIN,G5,G3,PARTIAL (P1 text; period+cap derivable),YES (evidence organized),YES (presented),YES (consumed but semantic interpretation needed),BOUNDARY,Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,CONDITIONAL_EVIDENCE_BOUNDARY
IS11-AMB-380,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,figure_label_boundary,T1_STRUCTURAL_ASSOCIATION,ABSTAIN,G2,,PARTIAL (P1 text; TLD=0 tables),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-401,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,figure_axis_tick,T1_STRUCTURAL_ASSOCIATION,ABSTAIN,G2,,PARTIAL (P1 text; TLD=0 tables),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-407,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,figure_axis_tick,T1_STRUCTURAL_ASSOCIATION,ABSTAIN,G2,,PARTIAL (P1 text; TLD=0 tables),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-409,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,figure_axis_tick,T1_STRUCTURAL_ASSOCIATION,ABSTAIN,G2,,PARTIAL (P1 text; TLD=0 tables),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
IS11-AMB-414,G1G5_VALIDATION,is11_med_001,academic_paper_chemistry,figure_caption_association,T1_STRUCTURAL_ASSOCIATION,MERGE,G2,G4,PARTIAL (P1 text: FIG prefix; P2 geometry: h_gap=18.11; NTB=0 vector),NO (evidence exists but not organized into usable structure),PARTIAL (evidence not fully organized),NO/PARTIAL (not reached consumer),INSUFFICIENT,Nothing (evidence not organized into usable form),Structural judgment requiring organized evidence,NOT_BOUNDARY
