case_id,arm,stratum,p0_evidence_change,p0_change_type,historical_evidence_state,historical_judgment,p1_M1,p1_M2,p1_M3,p1_M4,p1_M6,semantic_boundary_class,revision_count,actual_revisions,first_selections
is11_med_001_p23_85_395,E1,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,no,L1,sufficient,NOT_DETERMINABLE,7,2,5
is11_med_001_p18_325_655,E0,S4_TYPE_A_NEGATIVE,YES,MODERATE_context_state_no_extent,NO_VISUAL_EVIDENCE,,uncertain,no,no,L4,insufficient,EVIDENCE_INSUFFICIENT,6,1,5
is11_efficientnet_p8_467_415,E1,S6_NO_JUDGMENT,YES,MINOR_state_5pt,EXTENT_EXISTS,,no,no,yes,L2,sufficient,NOT_DETERMINABLE,7,2,5
is11_resnet_p4_464_620,E1,S3_COMPLETE_UNCERTAIN,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,yes,L2,sufficient,NOT_DETERMINABLE,9,4,5
arxiv_2402.18619_p17_184_561,E0,S5_TYPE_B_NEGATIVE,YES,MODERATE_context_state,EXTENT_EXISTS,,yes,no,yes,L1,sufficient,NOT_DETERMINABLE,5,0,5
is11_med_001_p20_85_340,E0,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,no,L1,sufficient,NOT_DETERMINABLE,5,0,5
is11_resnet_p4_309_134,E0,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,yes,L2,sufficient,NOT_DETERMINABLE,5,0,5
is11_cs_001_p1_108_651,E1,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,yes,L1,sufficient,NOT_DETERMINABLE,5,0,5
is11_efficientnet_p4_307_448,E1,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,yes,L0,sufficient,NOT_DETERMINABLE,5,0,5
arxiv_2402.18619_p18_432_93,E0,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,yes,L2,sufficient,NOT_DETERMINABLE,5,0,5
is11_efficientnet_p2_158_372,E1,S4_TYPE_A_NEGATIVE,YES,MODERATE_context_state_no_extent,PRIMITIVES_NO_EXTENT,,uncertain,no,no,L4,uncertain,NOT_DETERMINABLE,5,0,5
is11_med_001_p15_261_316,E0,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,yes,L2,sufficient,NOT_DETERMINABLE,5,0,5
is11_resnet_p7_321_545,E1,S4_TYPE_A_NEGATIVE,YES,MODERATE_context_state_no_extent,PRIMITIVES_NO_EXTENT,,uncertain,no,no,L4,uncertain,NOT_DETERMINABLE,5,0,5
is11_med_001_p15_498_107,E0,S4_TYPE_A_NEGATIVE,YES,MAJOR_extent_context_state,EXTENT_EXISTS,,uncertain,no,no,L4,uncertain,NOT_DETERMINABLE,5,0,5
arxiv_2402.18619_p10_72_729,E0,S4_TYPE_A_NEGATIVE,YES,MAJOR_extent_context_state,EXTENT_EXISTS,,uncertain,no,no,L4,uncertain,NOT_DETERMINABLE,5,0,5
is11_efficientnet_p6_79_415,E1,S5_TYPE_B_NEGATIVE,YES,MODERATE_context_state,EXTENT_EXISTS,,no,no,yes,L2,sufficient,NOT_DETERMINABLE,5,0,5
arxiv_2402.18619_p28_457_234,E1,S1_COMPLETE_YES,YES,MINOR_state_5pt,EXTENT_EXISTS,,yes,no,yes,L2,sufficient,NOT_DETERMINABLE,5,0,5
arxiv_2402.18619_p18_346_73,E1,S5_TYPE_B_NEGATIVE,YES,MODERATE_context_state,EXTENT_EXISTS,,uncertain,no,yes,L2,uncertain,NOT_DETERMINABLE,5,0,5
is11_resnet_p5_359_225,E0,S6_NO_JUDGMENT,YES,MINOR_state_5pt,EXTENT_EXISTS,,no,no,yes,L2,sufficient,NOT_DETERMINABLE,7,2,5
is11_efficientnet_p4_66_331,E1,S4_TYPE_A_NEGATIVE,YES,MAJOR_extent_context_state,EXTENT_EXISTS,,no,no,yes,L2,sufficient,NOT_DETERMINABLE,6,1,5
is11_resnet_p1_435_316,E0,S5_TYPE_B_NEGATIVE,YES,MODERATE_context_state,EXTENT_EXISTS,,yes,no,yes,L1,sufficient,NOT_DETERMINABLE,5,0,5
arxiv_2402.18619_p19_339_297,E1,S6_NO_JUDGMENT,YES,MINOR_state_5pt,EXTENT_EXISTS,,no,no,yes,L2,sufficient,NOT_DETERMINABLE,6,1,5
arxiv_2402.18619_p19_147_496,E0,S3_COMPLETE_UNCERTAIN,YES,MINOR_state_5pt,EXTENT_EXISTS,,no,yes,no,L2,sufficient,NOT_DETERMINABLE,5,0,5
is11_efficientnet_p4_188_461,E0,S6_NO_JUDGMENT,YES,MINOR_state_5pt,EXTENT_EXISTS,,no,no,yes,L2,sufficient,NOT_DETERMINABLE,6,1,5
