case_id,document_id,case_type,boundary_type,state,false_g5_type,expansion_level,human_judgment,human_contribution_type,boundary_signal,drawing_extent_present,evidence_sufficiency,semantic_boundary_assessment,learning_value,machine_verifiable,cross_case_recurrence,cross_document_recurrence,boundary_expansion,review_reduction_level,reusable_pattern,evidence_source,missing_evidence,notes
IS11-AMB-375,is11_med_001,prose_sentence_boundary,B4 (evidence provided but insufficient; more may help partially),FALSE_G5,G2_EVIDENCE_ORGANIZATION,E2,G5_BOUNDARY,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),ACADEMIC_INITIAL_G5→RECLASSIFIED_G2_EVIDENCE_ORGANIZATION,N/A,N/A,N/A,L2-L3 (can help Machine identify evidence_not_organized → route to Reorganization),YES (drawing_extent is structural),YES (pattern=P5_PAGE_SECTION_CONTEXT (G2)),CONDITIONAL,CONDITIONAL (reorganizing evidence may partially resolve),"L1 (evidence found, insufficient for full automatic resolution)",P5_PAGE_SECTION_CONTEXT (G2),E2 (page_context exists in document but not organized into e,MISSING_DOCUMENT_CONTEXT (page-level section context not org,task=Text-Text Boundary Decision (T2); problem=prose_sentenc
IS11-AMB-418,is11_med_001,prose_sentence_boundary,B4 (evidence provided but insufficient; more may help partially),FALSE_G5,G2_EVIDENCE_ORGANIZATION,E2,G5_BOUNDARY,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),ACADEMIC_INITIAL_G5→RECLASSIFIED_G2_EVIDENCE_ORGANIZATION,N/A,N/A,N/A,L2-L3 (can help Machine identify evidence_not_organized → route to Reorganization),YES (drawing_extent is structural),YES (pattern=P5_PAGE_SECTION_CONTEXT (G2)),CONDITIONAL,CONDITIONAL (reorganizing evidence may partially resolve),"L1 (evidence found, insufficient for full automatic resolution)",P5_PAGE_SECTION_CONTEXT (G2),E2 (page_context exists in document but not organized into e,MISSING_DOCUMENT_CONTEXT (page-level section context not org,task=Text-Text Boundary Decision (T2); problem=prose_sentenc
IS11-AMB-519,is11_cs_001,prose_sentence_boundary,B4 (evidence provided but insufficient; more may help partially),FALSE_G5,G2_EVIDENCE_ORGANIZATION,E2,G5_BOUNDARY,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),ACADEMIC_INITIAL_G5→RECLASSIFIED_G2_EVIDENCE_ORGANIZATION,N/A,N/A,N/A,L2-L3 (can help Machine identify evidence_not_organized → route to Reorganization),YES (drawing_extent is structural),YES (pattern=P5_PAGE_SECTION_CONTEXT (G2)),CONDITIONAL,CONDITIONAL (reorganizing evidence may partially resolve),"L1 (evidence found, insufficient for full automatic resolution)",P5_PAGE_SECTION_CONTEXT (G2),E2 (page_context exists in document but not organized into e,MISSING_DOCUMENT_CONTEXT (page-level section context not org,task=Text-Text Boundary Decision (T2); problem=prose_sentenc
IS11-AMB-005,is11_resnet,prose_sentence_boundary,B4 (evidence provided but insufficient; more may help partially),FALSE_G5,G2_EVIDENCE_ORGANIZATION,E2,G5_BOUNDARY,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),ACADEMIC_INITIAL_G5→RECLASSIFIED_G2_EVIDENCE_ORGANIZATION,N/A,N/A,N/A,L2-L3 (can help Machine identify evidence_not_organized → route to Reorganization),YES (drawing_extent is structural),YES (pattern=P5_PAGE_SECTION_CONTEXT (G2)),CONDITIONAL,CONDITIONAL (reorganizing evidence may partially resolve),"L1 (evidence found, insufficient for full automatic resolution)",P5_PAGE_SECTION_CONTEXT (G2),E2 (page_context exists in document but not organized into e,MISSING_DOCUMENT_CONTEXT (page-level section context not org,task=Text-Text Boundary Decision (T2); problem=prose_sentenc
IND-AMB-033,ind_arxiv_bio2,reference_list_author_title,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,C_EVIDENCE_RELATION_CANDIDATE,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P3_AUTHOR_NAME),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P3_AUTHOR_NAME,E3 (not in current system; requires world knowledge),MISSING_SEMANTIC_INFORMATION (author-name recognition requir,task=Text-Text Boundary Decision (T2); problem=reference_lis
IND-AMB-049,ind_arxiv_bio2,reference_list_author_title,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,C_EVIDENCE_RELATION_CANDIDATE,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P3_AUTHOR_NAME),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P3_AUTHOR_NAME,E3 (not in current system; requires world knowledge),MISSING_SEMANTIC_INFORMATION (author-name recognition requir,task=Text-Text Boundary Decision (T2); problem=reference_lis
MA-UNC-2,arxiv_2402.18619,text_drawing_association,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs reference identity),task=Text-Drawing Association (T1); problem=text_drawing_ass
MA-UNC-5,arxiv_2402.18619,text_drawing_association,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs reference identity),task=Text-Drawing Association (T1); problem=text_drawing_ass
MA-UNC-6,arxiv_2402.18619,text_drawing_association,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs reference identity),task=Text-Drawing Association (T1); problem=text_drawing_ass
MA-UNC-7,is11_resnet,text_drawing_association,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs reference identity),task=Text-Drawing Association (T1); problem=text_drawing_ass
MA-UNC-11,arxiv_2402.18619,text_drawing_association,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P1_CAPTION_VS_REFERENCE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P1_CAPTION_VS_REFERENCE,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (caption vs reference identity),task=Text-Drawing Association (T1); problem=text_drawing_ass
PH02-SPECIFICITY-VALUE-COL,is11_resnet,column_membership_specificity,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,B_NEW_EVIDENCE_CANDIDATE,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P4_COLUMN_TYPE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P4_COLUMN_TYPE,E3 (semantic content understanding not in current system),MISSING_SEMANTIC_INFORMATION (column type: row-number vs dat,task=Column Membership Decision (T2); problem=column_members
PH02-SPECIFICITY-CS001,is11_cs_001,column_membership_specificity,B5 (structural evidence has ceiling),TRUE_G5,NONE,E4,G5_BOUNDARY,B_NEW_EVIDENCE_CANDIDATE,ACADEMIC_G5_CONFIRMED → TRUE_G5,N/A,N/A,N/A,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P4_COLUMN_TYPE),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P4_COLUMN_TYPE,E3 (semantic content understanding not in current system),MISSING_SEMANTIC_INFORMATION (column type: row-number vs dat,task=Column Membership Decision (T2); problem=column_members
is11_efficientnet_p3_319_69,is11_efficientnet,Type_A_negative,B1 (evidence doesn't exist — drawing not observed),FALSE_G5,G1_OBSERVATION_COVERAGE,E3,UNCERTAIN,EVIDENCE_GAP_IDENTIFIED (not semantic judgment),DRAWING_EXTENT_MISSING → FALSE_G5 (G1/G2),False,INSUFFICIENT,NO (no drawing extent — cannot assess),L3 (can help Machine identify drawing_extent_missing → route to Evidence Recovery),YES (drawing_extent is structural),YES (pattern=P6_DRAWING_EXTENT_MISSING (G1)),CONDITIONAL,SUPPORTED (adding drawing observation resolves the case),"L2 (potential: if G1 fixed, case becomes machine-resolvable)",P6_DRAWING_EXTENT_MISSING (G1),E3 (drawing observation missing from system),MISSING_OBSERVATION (drawing extent not extracted),doc=is11_efficientnet; case_type=Type_A_negative; sem_bounda
arxiv_2402.18619_p15_498_182,arxiv_2402.18619,Type_B_negative,B4 (evidence provided but Human still uncertain),TRUE_G5,NONE,E4,UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,PARTIALLY_SUFFICIENT,POSSIBLE (non-FIG text near drawing — ro,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P2_TEXT_ROLE_AMBIGUITY),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P2_TEXT_ROLE_AMBIGUITY,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (text role: axis label vs annot,doc=arxiv_2402.18619; case_type=Type_B_negative; sem_boundar
arxiv_2402.18619_p18_346_73,arxiv_2402.18619,Type_B_negative,B4 (evidence provided but Human still uncertain),TRUE_G5,NONE,E4,UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,STRUCTURAL_COMPLETE_SEMANTIC_AMBIGUOUS → TRUE_G5,True,PARTIALLY_SUFFICIENT,POSSIBLE (non-FIG text near drawing — ro,L2 (Boundary Signal: structurally complete → semantic boundary → escalate to Human),NO (semantic judgment required),YES (pattern=P2_TEXT_ROLE_AMBIGUITY),YES,"NOT_SUPPORTED (genuine semantic boundary, no evidence expansion)",L0 (Human judgment irreducible),P2_TEXT_ROLE_AMBIGUITY,E3 (semantic text understanding not in current system),MISSING_SEMANTIC_INFORMATION (text role: axis label vs annot,doc=arxiv_2402.18619; case_type=Type_B_negative; sem_boundar
