case_id,document_id,page,tier,case_type,human_judgment,evidence_state,validation_result,state,gap_type,ce2_like,g1_gap,g2_gap,g3_gap,fig_prefix,drawing_extent,burden_e0,burden_e1,overall_change,sem_label_dep,in_mixed_config,validation_reason
arxiv_2402.18619_p10_132_629,arxiv_2402.18619,10,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=below|XO=False|dist=56.9|type=ambiguous,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=False) produced diffe
arxiv_2402.18619_p10_183_252,arxiv_2402.18619,10,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=above|XO=True|dist=18.4|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=above|XO=True) produced differ
arxiv_2402.18619_p19_339_297,arxiv_2402.18619,19,Tier 1a,ambiguous_fragment,no,fig=True|dep=True|VR=below|XO=True|dist=56.8|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=True) produced differ
arxiv_2402.18619_p19_83_745,arxiv_2402.18619,19,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=below|XO=False|dist=45.1|type=ambiguous,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=False) produced diffe
arxiv_2402.18619_p28_256_214,arxiv_2402.18619,28,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=below|XO=True|dist=35.7|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=True) produced differ
arxiv_2402.18619_p28_457_234,arxiv_2402.18619,28,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=below|XO=True|dist=55.2|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=True) produced differ
arxiv_2402.18619_p28_479_214,arxiv_2402.18619,28,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=below|XO=True|dist=35.7|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=True) produced differ
is11_efficientnet_p4_188_461,is11_efficientnet,4,Tier 1a,ambiguous_fragment,no,fig=True|dep=True|VR=below|XO=False|dist=20.1|type=ambiguous,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=False) produced diffe
is11_efficientnet_p6_511_629,is11_efficientnet,6,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=below|XO=True|dist=3.2|type=ambiguous_f,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=True) produced differ
is11_med_001_p15_261_316,is11_med_001,15,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=above|XO=True|dist=55.0|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=above|XO=True) produced differ
is11_resnet_p1_412_338,is11_resnet,1,Tier 1a,ambiguous_fragment,yes,fig=True|dep=True|VR=below|XO=True|dist=35.4|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,YES,True,True,0,0,EVIDENCE_CORRECTED,TRUE (case_type need,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=below|XO=True) produced differ
is11_resnet_p5_359_225,is11_resnet,5,Tier 1a,ambiguous_fragment,no,fig=True|dep=True|VR=above|XO=True|dist=17.8|type=ambiguous_,C,TRUE_G5,NONE,YES,NO,NO,NO,True,True,0,0,UNCHANGED,,YES,CE2-like pattern: identical structural evidence (fig=True|dep=True|VR=above|XO=True) produced differ
arxiv_2402.18619_p17_184_561,arxiv_2402.18619,17,Tier 1b,Type_B_negative,yes,fig=False|dep=True|VR=below|XO=True|dist=5.1|type=Type_B_neg,C,TRUE_G5,G2_SECONDARY (fixed; semantic boundary r,NO,NO,YES,NO,False,True,1,0,EVIDENCE_ADDED,TRUE (case_type need,NO,Type_B_negative with fig_prefix=False: no lexical signal. G2 was present (ctx missing: e0_ctx=0→e1_c
arxiv_2402.18619_p18_432_93,arxiv_2402.18619,18,Tier 1b,ambiguous_fragment,yes,fig=True|dep=True|VR=inside|XO=True|dist=0.0|type=ambiguous_,A,MACHINE_RESOLVABLE,NONE,NO,NO,NO,NO,True,True,0,0,UNCHANGED,,NO,ambiguous_fragment with FIG=True + VR=inside + XO=True + dist=0: strongest possible structural evide
is11_cs_001_p5_292_225,is11_cs_001,5,Tier 1b,Type_B_negative,yes,fig=False|dep=True|VR=below|XO=True|dist=7.1|type=Type_B_neg,C,TRUE_G5,G2_SECONDARY (fixed; semantic boundary r,NO,NO,YES,NO,False,True,1,0,EVIDENCE_ADDED,TRUE (case_type need,NO,Type_B_negative with fig_prefix=False: no lexical signal. G2 was present (ctx missing: e0_ctx=0→e1_c
is11_efficientnet_p8_328_261,is11_efficientnet,8,Tier 1b,Type_B_negative,yes,fig=False|dep=True|VR=inside|XO=True|dist=0.0|type=Type_B_ne,C,TRUE_G5,G2_SECONDARY (fixed; semantic boundary r,NO,NO,YES,NO,False,True,1,0,EVIDENCE_ADDED,TRUE (case_type need,NO,Type_B_negative with fig_prefix=False: no lexical signal. G2 was present (ctx missing: e0_ctx=0→e1_c
is11_resnet_p1_435_316,is11_resnet,1,Tier 1b,Type_B_negative,yes,fig=False|dep=True|VR=below|XO=True|dist=13.5|type=Type_B_ne,C,TRUE_G5,G2_SECONDARY (fixed; semantic boundary r,NO,NO,YES,NO,False,True,1,0,EVIDENCE_ADDED,TRUE (case_type need,NO,Type_B_negative with fig_prefix=False: no lexical signal. G2 was present (ctx missing: e0_ctx=0→e1_c
is11_resnet_p4_320_146,is11_resnet,4,Tier 1b,ambiguous_fragment,yes,fig=True|dep=True|VR=above|XO=False|dist=20.1|type=ambiguous,B,FALSE_G5,G3_EVIDENCE_PRESENTATION,NO,NO,NO,YES,True,True,0,0,EVIDENCE_CORRECTED,,NO,"EVIDENCE_CORRECTED: evidence had presentation issue (G3). After correction (burden=0/0), structural "
