case_id,document_id,problem_type,why_G1_not_fit,why_G2_not_fit,why_G3_not_fit,why_G4_not_fit,why_G5_not_fit,candidate_explanation,is_true_new_gap,is_existing_gap_boundary_case,is_observation_gap,is_research_object_gap,evidence_for_classification
IS11-AMB-130,is11_efficientnet,table_header_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-262,is11_efficientnet,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-313,is11_efficientnet,table_header_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-414,is11_med_001,figure_caption_association,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-422,is11_med_001,figure_caption_association,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-457,is11_cs_001,table_header_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-462,is11_cs_001,table_header_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-467,is11_cs_001,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-483,is11_cs_001,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
IS11-AMB-505,is11_cs_001,table_column_boundary,"Observation exists (P1 text, P2 geometry) — not an observation gap","PARTIALLY FITS — TLD failed to organize table structure, but P2 geometry IS organized (frozen)",Evidence was presented to system consumer (IS-11 got TLD output) — not a presentation gap,"PARTIALLY FITS — IS-11 consumer doesn't use P2 when TLD fails, but evidence IS consumed when TLD succeeds",Not a semantic boundary — structural decision (different columns) is deterministic,"BOUNDARY CASE: G2 (TLD organization failure) + G4 (consumer no fallback). PRIMARY=G2 because the earliest breakpoint is TLD not organizing table structure; SECONDARY=G4 because even without TLD, P2 geometry could support the decision but IS-11 doesn't query it.",NO,YES — G2/G4 boundary,NO — evidence exists,NO — research object (boundary decision) is well-defined,"TLD coverage 13/45 (29%); 32/45 TLD fail; P2 exists 45/45 (100%). DCE-06: two mechanisms (contamination + text-ratio). Boundary audit: 100% evidence exists, 64% not consumed."
