case_id,boundary_type,human_judgment,human_contribution_type,new_evidence_candidate,evidence_source,machine_verifiable,cross_case_recurrence,cross_document_recurrence,boundary_expansion,review_reduction_level,reusable_pattern,notes
IND-AMB-033,B5 (structural evidence has ceiling),G5,C_EVIDENCE_RELATION_CANDIDATE,PAGE_SECTION_CONTEXT (body text vs reference list) + AUTHOR_NAME_PATTERN,E2 (page section exists) + D (external knowledge for name recognition),PARTIAL (page section is machine-verifiable; author-name recognition is NOT machine-verifiable without world knowledge),YES (2 cases in same pattern),NO (1 doc),CONDITIONAL (page section may help partially; author-name still needs external knowledge),L1 (relation discovered but partially external; insufficient for automatic resolution),P3_AUTHOR_NAME (C_PARTIAL — page section + external knowledge),source=G5_boundary_research; doc=ind_arxiv_bio2; type=reference_list_author_title; missing=MISSING_SEMANTIC_INFORMATION (author-nam
IND-AMB-049,B5 (structural evidence has ceiling),G5,C_EVIDENCE_RELATION_CANDIDATE,PAGE_SECTION_CONTEXT (body text vs reference list) + AUTHOR_NAME_PATTERN,E2 (page section exists) + D (external knowledge for name recognition),PARTIAL (page section is machine-verifiable; author-name recognition is NOT machine-verifiable without world knowledge),YES (2 cases in same pattern),NO (1 doc),CONDITIONAL (page section may help partially; author-name still needs external knowledge),L1 (relation discovered but partially external; insufficient for automatic resolution),P3_AUTHOR_NAME (C_PARTIAL — page section + external knowledge),source=G5_boundary_research; doc=ind_arxiv_bio2; type=reference_list_author_title; missing=MISSING_SEMANTIC_INFORMATION (author-nam
MA-UNC-2,B5 (structural evidence has ceiling),G5,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,NONE,N/A,NO (semantic interpretation cannot be machine-verified without semantic understanding),YES (10 cases in same pattern),YES (3 docs),NOT_SUPPORTED (no new verifiable evidence; semantic judgment is irreducible),L0 (Human judgment not reusable; no evidence discovery),P1_CAPTION_VS_REFERENCE (E_IRREDUCIBLE — no evidence expansion),source=G5_boundary_research; doc=arxiv_2402.18619; type=text_drawing_association; missing=MISSING_SEMANTIC_INFORMATION (caption vs
MA-UNC-5,B5 (structural evidence has ceiling),G5,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,NONE,N/A,NO (semantic interpretation cannot be machine-verified without semantic understanding),YES (10 cases in same pattern),YES (3 docs),NOT_SUPPORTED (no new verifiable evidence; semantic judgment is irreducible),L0 (Human judgment not reusable; no evidence discovery),P1_CAPTION_VS_REFERENCE (E_IRREDUCIBLE — no evidence expansion),source=G5_boundary_research; doc=arxiv_2402.18619; type=text_drawing_association; missing=MISSING_SEMANTIC_INFORMATION (caption vs
MA-UNC-6,B5 (structural evidence has ceiling),G5,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,NONE,N/A,NO (semantic interpretation cannot be machine-verified without semantic understanding),YES (10 cases in same pattern),YES (3 docs),NOT_SUPPORTED (no new verifiable evidence; semantic judgment is irreducible),L0 (Human judgment not reusable; no evidence discovery),P1_CAPTION_VS_REFERENCE (E_IRREDUCIBLE — no evidence expansion),source=G5_boundary_research; doc=arxiv_2402.18619; type=text_drawing_association; missing=MISSING_SEMANTIC_INFORMATION (caption vs
MA-UNC-7,B5 (structural evidence has ceiling),G5,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,NONE,N/A,NO (semantic interpretation cannot be machine-verified without semantic understanding),YES (10 cases in same pattern),YES (3 docs),NOT_SUPPORTED (no new verifiable evidence; semantic judgment is irreducible),L0 (Human judgment not reusable; no evidence discovery),P1_CAPTION_VS_REFERENCE (E_IRREDUCIBLE — no evidence expansion),source=G5_boundary_research; doc=is11_resnet; type=text_drawing_association; missing=MISSING_SEMANTIC_INFORMATION (caption vs
MA-UNC-11,B5 (structural evidence has ceiling),G5,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,NONE,N/A,NO (semantic interpretation cannot be machine-verified without semantic understanding),YES (10 cases in same pattern),YES (3 docs),NOT_SUPPORTED (no new verifiable evidence; semantic judgment is irreducible),L0 (Human judgment not reusable; no evidence discovery),P1_CAPTION_VS_REFERENCE (E_IRREDUCIBLE — no evidence expansion),source=G5_boundary_research; doc=arxiv_2402.18619; type=text_drawing_association; missing=MISSING_SEMANTIC_INFORMATION (caption vs
PH02-SPECIFICITY-VALUE-COL,B5 (structural evidence has ceiling),G5,B_NEW_EVIDENCE_CANDIDATE,"COLUMN_HEADER_OR_TABLE_TITLE (may exist in document, not in Pack)","E2 (existing in document, not packaged)","PARTIAL (if column header is extracted, machine could use it; but header may itself be ambiguous)",YES (2 cases in same pattern),YES (2 docs),CONDITIONAL (column header may help but may itself be ambiguous),L1 (evidence discovered but insufficient for automatic resolution),P4_COLUMN_TYPE (B_CANDIDATE — column header may help),source=G5_boundary_research; doc=is11_resnet; type=column_membership_specificity; missing=MISSING_SEMANTIC_INFORMATION (column typ
PH02-SPECIFICITY-CS001,B5 (structural evidence has ceiling),G5,B_NEW_EVIDENCE_CANDIDATE,"COLUMN_HEADER_OR_TABLE_TITLE (may exist in document, not in Pack)","E2 (existing in document, not packaged)","PARTIAL (if column header is extracted, machine could use it; but header may itself be ambiguous)",YES (2 cases in same pattern),YES (2 docs),CONDITIONAL (column header may help but may itself be ambiguous),L1 (evidence discovered but insufficient for automatic resolution),P4_COLUMN_TYPE (B_CANDIDATE — column header may help),source=G5_boundary_research; doc=is11_cs_001; type=column_membership_specificity; missing=MISSING_SEMANTIC_INFORMATION (column typ
arxiv_2402.18619_p15_498_182,B4 (evidence provided but Human still uncertain),UNCERTAIN,E_IRREDUCIBLE_SEMANTIC_JUDGMENT,NONE,N/A,NO (semantic role determination requires understanding text's function in figure),YES (4 cases in same pattern),YES (3 docs),NOT_SUPPORTED (no new verifiable evidence; semantic judgment is irreducible),L0 (Human judgment not reusable; no evidence discovery),P2_TEXT_ROLE_AMBIGUITY (E_IRREDUCIBLE — no evidence expansion),source=M-A_uncertain; doc=arxiv_2402.18619; type=Type_B_negative; missing=MISSING_SEMANTIC_INFORMATION (text role:
