case_id,arm,stratum,presentation_order,M1_association_judgment,M2_pdf_reopen_required,M3_additional_document_search_required,M4_reconstruction_burden,M5_time_to_judgment,M6_evidence_sufficiency,semantic_boundary_class,revision_count
is11_med_001_p23_85_395,E1,S1_COMPLETE_YES,1,yes,no,no,L1,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,7
is11_med_001_p18_325_655,E0,S4_TYPE_A_NEGATIVE,2,uncertain,no,no,L4,NOT_AVAILABLE,insufficient,EVIDENCE_INSUFFICIENT,6
is11_efficientnet_p8_467_415,E1,S6_NO_JUDGMENT,3,no,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,7
is11_resnet_p4_464_620,E1,S3_COMPLETE_UNCERTAIN,4,yes,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,9
arxiv_2402.18619_p17_184_561,E0,S5_TYPE_B_NEGATIVE,5,yes,no,yes,L1,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
is11_med_001_p20_85_340,E0,S1_COMPLETE_YES,6,yes,no,no,L1,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
is11_resnet_p4_309_134,E0,S1_COMPLETE_YES,7,yes,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
is11_cs_001_p1_108_651,E1,S1_COMPLETE_YES,8,yes,no,yes,L1,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
is11_efficientnet_p4_307_448,E1,S1_COMPLETE_YES,9,yes,no,yes,L0,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
arxiv_2402.18619_p18_432_93,E0,S1_COMPLETE_YES,10,yes,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
is11_efficientnet_p2_158_372,E1,S4_TYPE_A_NEGATIVE,11,uncertain,no,no,L4,NOT_AVAILABLE,uncertain,NOT_DETERMINABLE,5
is11_med_001_p15_261_316,E0,S1_COMPLETE_YES,12,yes,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
is11_resnet_p7_321_545,E1,S4_TYPE_A_NEGATIVE,13,uncertain,no,no,L4,NOT_AVAILABLE,uncertain,NOT_DETERMINABLE,5
is11_med_001_p15_498_107,E0,S4_TYPE_A_NEGATIVE,14,uncertain,no,no,L4,NOT_AVAILABLE,uncertain,NOT_DETERMINABLE,5
arxiv_2402.18619_p10_72_729,E0,S4_TYPE_A_NEGATIVE,15,uncertain,no,no,L4,NOT_AVAILABLE,uncertain,NOT_DETERMINABLE,5
is11_efficientnet_p6_79_415,E1,S5_TYPE_B_NEGATIVE,16,no,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
arxiv_2402.18619_p28_457_234,E1,S1_COMPLETE_YES,17,yes,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
arxiv_2402.18619_p18_346_73,E1,S5_TYPE_B_NEGATIVE,18,uncertain,no,yes,L2,NOT_AVAILABLE,uncertain,NOT_DETERMINABLE,5
is11_resnet_p5_359_225,E0,S6_NO_JUDGMENT,19,no,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,7
is11_efficientnet_p4_66_331,E1,S4_TYPE_A_NEGATIVE,20,no,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,6
is11_resnet_p1_435_316,E0,S5_TYPE_B_NEGATIVE,21,yes,no,yes,L1,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
arxiv_2402.18619_p19_339_297,E1,S6_NO_JUDGMENT,22,no,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,6
arxiv_2402.18619_p19_147_496,E0,S3_COMPLETE_UNCERTAIN,23,no,yes,no,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,5
is11_efficientnet_p4_188_461,E0,S6_NO_JUDGMENT,24,no,no,yes,L2,NOT_AVAILABLE,sufficient,NOT_DETERMINABLE,6
