human_task,required_for_sufficient,required_for_boundary_claim,insufficient_for_stronger_claim,cases_supporting,cross_case_evidence,function_gap
T1_STRUCTURAL_ASSOCIATION (Text-Drawing),F1 (LEXICAL) + F2 (SPATIAL_REFERENCE) + F3 (PROXIMITY) + F4 (POSITIONAL) + F5 (ALIGNMENT) + F6 (TEXT_RECONSTRUCTION),F1+F2+F3+F4+F5+F6 (same — these support the weaker association claim),CAPTION_IDENTITY_FUNCTION (not in current evidence functions) — needed to distinguish caption from reference,65 SUFFICIENT (M-A YES/NO) + 9 CONFIRMED_BOUNDARY (caption vs reference) + 4 CONDITIONAL_BOUNDARY,"79 M-A cases: 65 definitive judgments used F1-F6; 14 UNCERTAIN: 5 G1 (missing F2), 5 G3 (F2+F6 not presented), 4 G5 (F1-F6 present but caption identity needed)",CAPTION_IDENTITY — distinguishing 'this text describes this drawing' from 'this text references another drawing' requires semantic text understanding beyond spatial evidence
T2_BOUNDARY_DECISION (Text-Text merge/separate),"F1 (LEXICAL) + F6 (TEXT_RECONSTRUCTION) + F12 (COLUMN_MEMBERSHIP) + F14 (REFERENCE_CONTEXT, conditional)",F1+F6+F12 (support structural relationship claim),COLUMN_SEMANTIC_IDENTITY (for column type) + SENTENCE_UNIT_STANDARD (for prose) + AUTHOR_NAME_RECOGNITION (for reference lists),45 IS-11 cases + 10 P7 cases + 3 PH02 cases,"IS-11: 26 KEEP resolved by F12 (TLD different_cell); 18 ABSTAIN due to missing F12 (TLD fail); 1 FP due to F12 not used by consumer (G4); P7: 3 FP from IS-01 false-trigger (F1 insufficient alone); PH02: 2 CONFIRMED_BOUNDARY (value column = row-number column, F12 cannot distinguish)",COLUMN_SEMANTIC_IDENTITY — aligned numeric column could be row-numbers OR data values; current F12 (alignment) cannot distinguish. SENTENCE_UNIT_STANDARD — period+cap is necessary but not sufficient; 'text unit' (sentence vs paragraph) is undefined.
T3_GRAPHIC_CONTEXT (IS-14 figure-text),"F1 (LEXICAL) + F2 (SPATIAL_REFERENCE) + F7 (DRAWING_DENSITY) + F15 (HEADER_DETECTION, for contamination filtering)",F1+F2+F7 (support figure-text proximity claim),TICK_LABEL_IDENTITY — distinguishing axis tick labels from data values requires semantic understanding,13 Phase 3 cases,"Phase 3: 2 G1 (raster figures, F2 unavailable); 3 G1 (corpus/representation gaps); 2 G2 (header contamination, F15 needed); 6 G2 (figure structure not detected)",TICK_LABEL_IDENTITY — variable-width axis labels (CV>0.15) structurally excluded by frozen threshold; distinguishing tick labels from data requires content understanding

--- Evidence Function Catalog ---
function_id,function_name,served_by,status
F1,LEXICAL_DISCRIMINATION,"text content, FIG-prefix pattern",EXISTS
F2,SPATIAL_REFERENCE_TARGET,drawing extent bbox (DEF),EXISTS
F3,PROXIMITY_SIGNAL,text-extent distance,EXISTS
F4,POSITIONAL_CONTEXT,vertical ordering,EXISTS
F5,ALIGNMENT_SIGNAL,x-overlap,EXISTS
F6,TEXT_RECONSTRUCTION,same_y context (P2 same_y_band),EXISTS
F7,DRAWING_DENSITY_SIGNAL,"primitive_count, area",EXISTS
F8,CAPTION_CONTINUATION,"adjacent text, h_gap",EXISTS
F9,MULTI_DRAWING_DISAMBIGUATION,"number of extents, other FIG texts",EXISTS
F10,REGION_CONTEXT,P6 region type,EXISTS
F11,OBSERVATION_COVERAGE_DISAMBIGUATION,evidence_state 3-state,EXISTS
F12,COLUMN_MEMBERSHIP,"left_alignment_group, same_x_band",EXISTS
F13,CROSS_PAGE_CONTINUITY,P2/P7.1 cross-page relations,DERIVABLE
F14,REFERENCE_CONTEXT,page_context (reference list structure),DERIVABLE
F15,HEADER_DETECTION,page-top y + cross-page repetition + letter-spaced morphology,DERIVABLE
