case_id,document_id,page,task,problem_type,available_evidence,evidence_function,supported_claim,unsupported_stronger_claim,missing_evidence,boundary_reason,evidence_sufficiency,G5_status,semantic_dependency,missing_evidence_category,cluster,structure_pattern,more_structural_evidence,C3_more_same_evidence,C4_new_function
IS11-AMB-375,is11_med_001,various,Text-Text Boundary Decision (T2),prose_sentence_boundary,"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",F1+F6 (lexical pattern + context),Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,Reference context requires page-level structure: is this text in body text or in a reference list? Period+capital is ambiguous without page context. SOME cases may resolve with page_context; others require author-name recognition.,Lexical pattern is complete but page_context (which section the text is in) is not organized into evidence. PARTIALLY resolvable with context; author-name cases need world knowledge.,BOUNDARY,CONDITIONAL_EVIDENCE_BOUNDARY,REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases),SEMANTIC_INTERPRETATION_MISSING,TEXTUAL_TO_SEMANTIC,A,MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — page_context might resolve some sub-cases),"PARTIAL — more context might resolve some reference cases, but author-name cases need world knowledge",REFERENCE_CONTEXT_FUNCTION — page_context exists but not organized; BUT author-name cases need world knowledge
IS11-AMB-418,is11_med_001,various,Text-Text Boundary Decision (T2),prose_sentence_boundary,"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",F1+F6 (lexical pattern + context),Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,Reference context requires page-level structure: is this text in body text or in a reference list? Period+capital is ambiguous without page context. SOME cases may resolve with page_context; others require author-name recognition.,Lexical pattern is complete but page_context (which section the text is in) is not organized into evidence. PARTIALLY resolvable with context; author-name cases need world knowledge.,BOUNDARY,CONDITIONAL_EVIDENCE_BOUNDARY,REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases),SEMANTIC_INTERPRETATION_MISSING,TEXTUAL_TO_SEMANTIC,A,MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — page_context might resolve some sub-cases),"PARTIAL — more context might resolve some reference cases, but author-name cases need world knowledge",REFERENCE_CONTEXT_FUNCTION — page_context exists but not organized; BUT author-name cases need world knowledge
IS11-AMB-519,is11_cs_001,various,Text-Text Boundary Decision (T2),prose_sentence_boundary,"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",F1+F6 (lexical pattern + context),Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,Reference context requires page-level structure: is this text in body text or in a reference list? Period+capital is ambiguous without page context. SOME cases may resolve with page_context; others require author-name recognition.,Lexical pattern is complete but page_context (which section the text is in) is not organized into evidence. PARTIALLY resolvable with context; author-name cases need world knowledge.,BOUNDARY,CONDITIONAL_EVIDENCE_BOUNDARY,REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases),SEMANTIC_INTERPRETATION_MISSING,TEXTUAL_TO_SEMANTIC,A,MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — page_context might resolve some sub-cases),"PARTIAL — more context might resolve some reference cases, but author-name cases need world knowledge",REFERENCE_CONTEXT_FUNCTION — page_context exists but not organized; BUT author-name cases need world knowledge
IS11-AMB-005,is11_resnet,various,Text-Text Boundary Decision (T2),prose_sentence_boundary,"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",F1+F6 (lexical pattern + context),Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,Reference context requires page-level structure: is this text in body text or in a reference list? Period+capital is ambiguous without page context. SOME cases may resolve with page_context; others require author-name recognition.,Lexical pattern is complete but page_context (which section the text is in) is not organized into evidence. PARTIALLY resolvable with context; author-name cases need world knowledge.,BOUNDARY,CONDITIONAL_EVIDENCE_BOUNDARY,REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases),SEMANTIC_INTERPRETATION_MISSING,TEXTUAL_TO_SEMANTIC,A,MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — page_context might resolve some sub-cases),"PARTIAL — more context might resolve some reference cases, but author-name cases need world knowledge",REFERENCE_CONTEXT_FUNCTION — page_context exists but not organized; BUT author-name cases need world knowledge
IND-AMB-033,ind_arxiv_bio2,various,Text-Text Boundary Decision (T2),reference_list_author_title,"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",F1+F6 (lexical pattern + context),Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,Author-name recognition requires world knowledge: is 'Le.' a surname (reference list continuation) or a sentence fragment? Period+capital pattern is the same for both.,Lexical pattern is complete but cannot distinguish author name from sentence fragment without world knowledge.,BOUNDARY,CONFIRMED_EVIDENCE_BOUNDARY,AUTHOR_NAME_RECOGNITION — requires external world knowledge about names,SEMANTIC_INTERPRETATION_MISSING,TEXTUAL_TO_SEMANTIC,A,STRUCTURAL_EVIDENCE_NOT_SUFFICIENT,NO,Unknown
IND-AMB-049,ind_arxiv_bio2,various,Text-Text Boundary Decision (T2),reference_list_author_title,"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",F1+F6 (lexical pattern + context),Text pair has period+capital boundary signal,Text pair is definitively sentence boundary vs reference continuation,Author-name recognition requires world knowledge: is 'Le.' a surname (reference list continuation) or a sentence fragment? Period+capital pattern is the same for both.,Lexical pattern is complete but cannot distinguish author name from sentence fragment without world knowledge.,BOUNDARY,CONFIRMED_EVIDENCE_BOUNDARY,AUTHOR_NAME_RECOGNITION — requires external world knowledge about names,SEMANTIC_INTERPRETATION_MISSING,TEXTUAL_TO_SEMANTIC,A,STRUCTURAL_EVIDENCE_NOT_SUFFICIENT,NO,Unknown
MA-UNC-2,arxiv_2402.18619,various,Text-Drawing Association (T1),text_drawing_association,"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",F1+F2+F3+F4+F5+F6 (structural/spatial),Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,Caption identity requires semantic text understanding: is this text describing the drawing (caption) or referencing it (in-text reference)? Current spatial evidence cannot distinguish.,"Structural evidence (proximity, alignment, context) is complete but cannot determine semantic role: caption vs reference.",BOUNDARY,CONFIRMED_EVIDENCE_BOUNDARY,TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing,SEMANTIC_INTERPRETATION_MISSING,SPATIAL_TO_SEMANTIC,A,STRUCTURAL_EVIDENCE_NOT_SUFFICIENT,NO — more spatial evidence cannot determine semantic caption identity,CAPTION_IDENTITY_FUNCTION — semantic text understanding beyond current evidence functions
MA-UNC-5,arxiv_2402.18619,various,Text-Drawing Association (T1),text_drawing_association,"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",F1+F2+F3+F4+F5+F6 (structural/spatial),Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,Caption identity requires semantic text understanding: is this text describing the drawing (caption) or referencing it (in-text reference)? Current spatial evidence cannot distinguish.,"Structural evidence (proximity, alignment, context) is complete but cannot determine semantic role: caption vs reference.",BOUNDARY,CONFIRMED_EVIDENCE_BOUNDARY,TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing,SEMANTIC_INTERPRETATION_MISSING,SPATIAL_TO_SEMANTIC,A,STRUCTURAL_EVIDENCE_NOT_SUFFICIENT,NO — more spatial evidence cannot determine semantic caption identity,CAPTION_IDENTITY_FUNCTION — semantic text understanding beyond current evidence functions
MA-UNC-6,arxiv_2402.18619,various,Text-Drawing Association (T1),text_drawing_association,"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",F1+F2+F3+F4+F5+F6 (structural/spatial),Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,Caption identity requires semantic text understanding: is this text describing the drawing (caption) or referencing it (in-text reference)? Current spatial evidence cannot distinguish.,"Structural evidence (proximity, alignment, context) is complete but cannot determine semantic role: caption vs reference.",BOUNDARY,CONFIRMED_EVIDENCE_BOUNDARY,TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing,SEMANTIC_INTERPRETATION_MISSING,SPATIAL_TO_SEMANTIC,A,STRUCTURAL_EVIDENCE_NOT_SUFFICIENT,NO — more spatial evidence cannot determine semantic caption identity,CAPTION_IDENTITY_FUNCTION — semantic text understanding beyond current evidence functions
MA-UNC-7,is11_resnet,various,Text-Drawing Association (T1),text_drawing_association,"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",F1+F2+F3+F4+F5+F6 (structural/spatial),Text and Drawing have spatial/structural association,Text IS the semantic caption/label of this Drawing,Caption identity requires semantic text understanding: is this text describing the drawing (caption) or referencing it (in-text reference)? Current spatial evidence cannot distinguish.,"Structural evidence (proximity, alignment, context) is complete but cannot determine semantic role: caption vs reference.",BOUNDARY,CONFIRMED_EVIDENCE_BOUNDARY,TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing,SEMANTIC_INTERPRETATION_MISSING,SPATIAL_TO_SEMANTIC,A,STRUCTURAL_EVIDENCE_NOT_SUFFICIENT,NO — more spatial evidence cannot determine semantic caption identity,CAPTION_IDENTITY_FUNCTION — semantic text understanding beyond current evidence functions
