case_id,document_id,case_type,e0_judgment,e0_pack_completeness,stratum,selected_for_pilot,arm,presentation_order,e0_burden_diagnostic,e1_burden_diagnostic,e1_evidence_state,e0_extent,e1_extent,e0_ctx_count,e1_ctx_count
arxiv_2402.18619_p10_132_629,arxiv_2402.18619,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p10_183_252,arxiv_2402.18619,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p10_72_581,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p10_72_729,arxiv_2402.18619,type_a,yes,INCOMPLETE,S4_TYPE_A_NEGATIVE,YES,A_E0,15,3,0,EXTENT_EXISTS,None,set,0,5
arxiv_2402.18619_p11_72_651,arxiv_2402.18619,type_a,uncertain,INCOMPLETE,S4_TYPE_A_NEGATIVE,NO,,,3,2,NO_VISUAL_EVIDENCE,None,None,0,5
arxiv_2402.18619_p12_180_706,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p14_72_243,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p15_498_182,arxiv_2402.18619,type_b,uncertain,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,NO,,,1,0,EXTENT_EXISTS,set,set,0,5
arxiv_2402.18619_p15_74_275,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p16_172_568,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p17_121_581,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p17_184_561,arxiv_2402.18619,type_b,yes,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,YES,A_E0,5,1,0,EXTENT_EXISTS,set,set,0,5
arxiv_2402.18619_p17_72_184,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p18_134_293,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p18_346_73,arxiv_2402.18619,type_b,uncertain,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,YES,B_E1,18,1,1,EXTENT_EXISTS,set,set,0,5
arxiv_2402.18619_p18_432_93,arxiv_2402.18619,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,YES,A_E0,10,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p19_147_496,arxiv_2402.18619,ambiguous_fragment,uncertain,COMPLETE,S3_COMPLETE_UNCERTAIN,YES,A_E0,23,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p19_339_297,arxiv_2402.18619,ambiguous_fragment,no,COMPLETE,S6_NO_JUDGMENT,YES,B_E1,22,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p19_72_248,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p19_72_733,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p19_83_745,arxiv_2402.18619,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,3,3
arxiv_2402.18619_p24_72_646,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p26_327_253,arxiv_2402.18619,ambiguous_fragment,uncertain,COMPLETE,S3_COMPLETE_UNCERTAIN,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p28_107_234,arxiv_2402.18619,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p28_152_82,arxiv_2402.18619,subfigure_label,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p28_152_95,arxiv_2402.18619,subfigure_label,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,2,2
arxiv_2402.18619_p28_207_82,arxiv_2402.18619,subfigure_label,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p28_256_214,arxiv_2402.18619,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p28_457_234,arxiv_2402.18619,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,YES,B_E1,17,0,0,EXTENT_EXISTS,set,set,5,5
arxiv_2402.18619_p28_458_160,arxiv_2402.18619,subfigure_label,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,2,2
arxiv_2402.18619_p28_479_214,arxiv_2402.18619,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_cs_001_p1_108_651,is11_cs_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,YES,B_E1,8,0,0,EXTENT_EXISTS,set,set,5,5
is11_cs_001_p4_108_225,is11_cs_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_cs_001_p5_108_225,is11_cs_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_cs_001_p5_292_225,is11_cs_001,type_b,yes,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,NO,,,1,0,EXTENT_EXISTS,set,set,0,5
is11_efficientnet_p1_307_364,is11_efficientnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p2_158_372,is11_efficientnet,type_a,uncertain,INCOMPLETE,S4_TYPE_A_NEGATIVE,YES,B_E1,11,3,2,PRIMITIVES_NO_EXTENT,None,None,0,5
is11_efficientnet_p3_319_69,is11_efficientnet,type_a,uncertain,INCOMPLETE,S4_TYPE_A_NEGATIVE,NO,,,3,2,PRIMITIVES_NO_EXTENT,None,None,0,5
is11_efficientnet_p4_188_461,is11_efficientnet,ambiguous_fragment,no,COMPLETE,S6_NO_JUDGMENT,YES,A_E0,24,0,0,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p4_307_448,is11_efficientnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,YES,B_E1,9,0,0,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p4_55_218,is11_efficientnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p4_66_331,is11_efficientnet,type_a,uncertain,INCOMPLETE,S4_TYPE_A_NEGATIVE,YES,B_E1,20,3,0,EXTENT_EXISTS,None,set,0,5
is11_efficientnet_p6_307_629,is11_efficientnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p6_511_629,is11_efficientnet,ambiguous_fragment,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p6_79_415,is11_efficientnet,type_b,uncertain,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,YES,B_E1,16,1,0,EXTENT_EXISTS,set,set,0,5
is11_efficientnet_p7_55_455,is11_efficientnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,1,1,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p8_307_390,is11_efficientnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,1,1,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p8_328_261,is11_efficientnet,type_b,yes,PARTIAL_EXTENT_ONLY,S5_TYPE_B_NEGATIVE,NO,,,1,0,EXTENT_EXISTS,set,set,0,3
is11_efficientnet_p8_467_415,is11_efficientnet,ambiguous_fragment,no,COMPLETE,S6_NO_JUDGMENT,YES,B_E1,3,0,0,EXTENT_EXISTS,set,set,5,5
is11_efficientnet_p8_55_213,is11_efficientnet,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p11_85_291,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
is11_med_001_p13_85_307,is11_med_001,caption_like,yes,COMPLETE,S1_COMPLETE_YES,NO,,,0,0,EXTENT_EXISTS,set,set,5,5
