case_id,document_id,document_type,document_domain,page,problem_type,failure_source,human_judgment_available,existing_evidence_available
DG2-FIN-001,FIN_REPORT,corporate_industry_report,finance_accounting,3,toc_page_number_separation,TOC section titles and page numbers extracted as separate flat blocks; '目 录' label at end,FALSE,YES (section titles + page numbers as text)
DG2-FIN-002,FIN_REPORT,corporate_industry_report,finance_accounting,2,committee_member_affiliation_fragmentation,Expert committee member names and affiliations extracted as separate flat lists; name-affiliation pairs lost,FALSE,YES (all names and affiliations as text)
DG2-FIN-003,FIN_REPORT,corporate_industry_report,finance_accounting,18-19,ranking_table_7column_flat,7-column ranking table (总排名|技术|公众得票率|公众排名|专家得票率|专家排名|排名差距) extracted as 7 separate flat lists; all row correspondence lost,FALSE,"YES (all values as text, but 7-way correspondence lost)"
DG2-FIN-004,FIN_REPORT,corporate_industry_report,finance_accounting,20,bar_chart_raster_vertical_text,Bar chart comparing 2024 vs 2023 rankings is raster image; technology names extracted character-by-character vertically (流\n程\n自\n动\n化); chart data not observable,FALSE,PARTIAL (fragmented text labels only; chart not observable)
DG2-FIN-005,FIN_REPORT,corporate_industry_report,finance_accounting,21-22,multi_year_comparison_table_spanning,8-year × 10-rank comparison table (表12) spans 2 pages; column headers repeat mid-table; technology names split across lines; 8-column row correspondence lost,FALSE,"YES (all values as text, but multi-page 8-column correspondence lost)"
DG2-FIN-006,FIN_REPORT,corporate_industry_report,finance_accounting,24,lifecycle_table_3column,3-column lifecycle table (排名|技术|生命周期系数|生命周期) extracted as separate lists; technology-lifecycle stage correspondence lost,FALSE,YES (all values as text)
DG2-FIN-007,FIN_REPORT,corporate_industry_report,finance_accounting,25,lifecycle_chart_raster,Lifecycle stage chart is raster image; axis labels (1.00-5.00) and stage names extracted but chart visual not observable,FALSE,PARTIAL (axis labels only; chart not observable)
DG2-FIN-008,FIN_REPORT,corporate_industry_report,finance_accounting,25-26,sentiment_table_4column_spanning,4-column sentiment statistics table (排序|候选技术|财会曝光数|总曝光数|占比) spans 2 pages; 35 rows with correspondence lost,FALSE,"YES (all values as text, but 4-way correspondence lost)"
DG2-FIN-009,FIN_REPORT,corporate_industry_report,finance_accounting,28,expert_category_table_5column,5-column expert category comparison table (软件厂商|实务界|信息技术界|学术界|专业机构) with 10 rows; all columns extracted as separate lists,FALSE,"YES (all values as text, but 5-way correspondence lost)"
DG2-FIN-010,FIN_REPORT,corporate_industry_report,finance_accounting,31-35,voting_demographic_table_6column_spanning,6-column demographic voting table (综合排名|候选技术|高层管理|中层管理|基层管理|普通工作|学生|变异系数|差异排名) spans 5 pages; 35 rows with 9-way correspondence lost,FALSE,"YES (all values as text, but 9-way correspondence lost)"
