case_id,cluster,structure_A_structural_to_semantic,structure_A_reason,structure_B_observable_to_interpreted,structure_B_reason,structure_C_fact_to_meaning,structure_C_reason,structure_D_weak_to_strong,structure_D_reason,best_fit
IS11-AMB-375,TEXTUAL_TO_SEMANTIC,YES,Structural evidence (F1+F6 (lexical pattern + context)) → structural claim (Text pair has period+capital boundary signal) → semantic identity claim (Text pair is definitively sentence boundary vs reference continuation),YES,Observable relation (textual) → interpreted relation (semantic identity),YES,Observed fact (Text pair has period+capital boundary signal) → meaning/identity (Text pair is definitively sentence boundary vs reference continuation),YES,Weak claim (Text pair has period+capital boundary signal) → stronger claim (Text pair is definitively sentence boundary vs reference continuation),A (most precise: structural evidence → structural claim → semantic identity claim)
IS11-AMB-418,TEXTUAL_TO_SEMANTIC,YES,Structural evidence (F1+F6 (lexical pattern + context)) → structural claim (Text pair has period+capital boundary signal) → semantic identity claim (Text pair is definitively sentence boundary vs reference continuation),YES,Observable relation (textual) → interpreted relation (semantic identity),YES,Observed fact (Text pair has period+capital boundary signal) → meaning/identity (Text pair is definitively sentence boundary vs reference continuation),YES,Weak claim (Text pair has period+capital boundary signal) → stronger claim (Text pair is definitively sentence boundary vs reference continuation),A (most precise: structural evidence → structural claim → semantic identity claim)
IS11-AMB-519,TEXTUAL_TO_SEMANTIC,YES,Structural evidence (F1+F6 (lexical pattern + context)) → structural claim (Text pair has period+capital boundary signal) → semantic identity claim (Text pair is definitively sentence boundary vs reference continuation),YES,Observable relation (textual) → interpreted relation (semantic identity),YES,Observed fact (Text pair has period+capital boundary signal) → meaning/identity (Text pair is definitively sentence boundary vs reference continuation),YES,Weak claim (Text pair has period+capital boundary signal) → stronger claim (Text pair is definitively sentence boundary vs reference continuation),A (most precise: structural evidence → structural claim → semantic identity claim)
IS11-AMB-005,TEXTUAL_TO_SEMANTIC,YES,Structural evidence (F1+F6 (lexical pattern + context)) → structural claim (Text pair has period+capital boundary signal) → semantic identity claim (Text pair is definitively sentence boundary vs reference continuation),YES,Observable relation (textual) → interpreted relation (semantic identity),YES,Observed fact (Text pair has period+capital boundary signal) → meaning/identity (Text pair is definitively sentence boundary vs reference continuation),YES,Weak claim (Text pair has period+capital boundary signal) → stronger claim (Text pair is definitively sentence boundary vs reference continuation),A (most precise: structural evidence → structural claim → semantic identity claim)
IND-AMB-033,TEXTUAL_TO_SEMANTIC,YES,Structural evidence (F1+F6 (lexical pattern + context)) → structural claim (Text pair has period+capital boundary signal) → semantic identity claim (Text pair is definitively sentence boundary vs reference continuation),YES,Observable relation (textual) → interpreted relation (semantic identity),YES,Observed fact (Text pair has period+capital boundary signal) → meaning/identity (Text pair is definitively sentence boundary vs reference continuation),YES,Weak claim (Text pair has period+capital boundary signal) → stronger claim (Text pair is definitively sentence boundary vs reference continuation),A (most precise: structural evidence → structural claim → semantic identity claim)
IND-AMB-049,TEXTUAL_TO_SEMANTIC,YES,Structural evidence (F1+F6 (lexical pattern + context)) → structural claim (Text pair has period+capital boundary signal) → semantic identity claim (Text pair is definitively sentence boundary vs reference continuation),YES,Observable relation (textual) → interpreted relation (semantic identity),YES,Observed fact (Text pair has period+capital boundary signal) → meaning/identity (Text pair is definitively sentence boundary vs reference continuation),YES,Weak claim (Text pair has period+capital boundary signal) → stronger claim (Text pair is definitively sentence boundary vs reference continuation),A (most precise: structural evidence → structural claim → semantic identity claim)
MA-UNC-2,SPATIAL_TO_SEMANTIC,YES,Structural evidence (F1+F2+F3+F4+F5+F6 (structural/spatial)) → structural claim (Text and Drawing have spatial/structural association) → semantic identity claim (Text IS the semantic caption/label of this Drawing),YES,Observable relation (spatial) → interpreted relation (semantic identity),YES,Observed fact (Text and Drawing have spatial/structural association) → meaning/identity (Text IS the semantic caption/label of this Drawing),YES,Weak claim (Text and Drawing have spatial/structural association) → stronger claim (Text IS the semantic caption/label of this Drawing),A (most precise: structural evidence → structural claim → semantic identity claim)
MA-UNC-5,SPATIAL_TO_SEMANTIC,YES,Structural evidence (F1+F2+F3+F4+F5+F6 (structural/spatial)) → structural claim (Text and Drawing have spatial/structural association) → semantic identity claim (Text IS the semantic caption/label of this Drawing),YES,Observable relation (spatial) → interpreted relation (semantic identity),YES,Observed fact (Text and Drawing have spatial/structural association) → meaning/identity (Text IS the semantic caption/label of this Drawing),YES,Weak claim (Text and Drawing have spatial/structural association) → stronger claim (Text IS the semantic caption/label of this Drawing),A (most precise: structural evidence → structural claim → semantic identity claim)
MA-UNC-6,SPATIAL_TO_SEMANTIC,YES,Structural evidence (F1+F2+F3+F4+F5+F6 (structural/spatial)) → structural claim (Text and Drawing have spatial/structural association) → semantic identity claim (Text IS the semantic caption/label of this Drawing),YES,Observable relation (spatial) → interpreted relation (semantic identity),YES,Observed fact (Text and Drawing have spatial/structural association) → meaning/identity (Text IS the semantic caption/label of this Drawing),YES,Weak claim (Text and Drawing have spatial/structural association) → stronger claim (Text IS the semantic caption/label of this Drawing),A (most precise: structural evidence → structural claim → semantic identity claim)
MA-UNC-7,SPATIAL_TO_SEMANTIC,YES,Structural evidence (F1+F2+F3+F4+F5+F6 (structural/spatial)) → structural claim (Text and Drawing have spatial/structural association) → semantic identity claim (Text IS the semantic caption/label of this Drawing),YES,Observable relation (spatial) → interpreted relation (semantic identity),YES,Observed fact (Text and Drawing have spatial/structural association) → meaning/identity (Text IS the semantic caption/label of this Drawing),YES,Weak claim (Text and Drawing have spatial/structural association) → stronger claim (Text IS the semantic caption/label of this Drawing),A (most precise: structural evidence → structural claim → semantic identity claim)
