case_id,candidate_group,human_judgment,configuration_group,evidence_difference,counterexample_status,family_membership,semantic_label_dependency,patch_risk,notes
is11_efficientnet_p4_55_218,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=NO|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_efficientnet; case_type=caption_like; XO=NO; dist=33.7; ctx=5; burden=0
is11_resnet_p6_478_168,borderline,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_resnet; case_type=ambiguous_fragment; XO=YES; dist=25.1; ctx=5; burden=0
is11_med_001_p13_85_307,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=NO|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=NO; dist=32.1; ctx=5; burden=0
is11_resnet_p2_87_158,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_resnet; case_type=caption_like; XO=YES; dist=16.1; ctx=5; burden=0
is11_med_001_p16_85_484,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=NO|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=is11_med_001; case_type=caption_like; XO=NO; dist=15.3; ctx=5; burden=0
arxiv_2402.18619_p14_72_243,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=8.5; ctx=5; burden=0
arxiv_2402.18619_p24_72_646,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=53.1; ctx=5; burden=0
arxiv_2402.18619_p28_457_234,borderline,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=ambiguous_fragment; XO=YES; dist=55.2; ctx=5; burden=0
arxiv_2402.18619_p17_121_581,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits XO=YES+dist≤25 subgroup),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=24.5; ctx=5; burden=0
arxiv_2402.18619_p28_479_214,borderline,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=ambiguous_fragment; XO=YES; dist=35.7; ctx=5; burden=0
is11_efficientnet_p6_511_629,borderline,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_efficientnet; case_type=ambiguous_fragment; XO=YES; dist=3.2; ctx=5; burden=0
arxiv_2402.18619_p10_132_629,borderline,YES,FIG=YES|EXTENT|VR=below|XO=NO|dist40+,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=ambiguous_fragment; XO=NO; dist=56.9; ctx=5; burden=0
is11_resnet_p1_309_305,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist≤20,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),LOW (fits core 100% subgroup: XO=YES+dist≤20),doc=is11_resnet; case_type=caption_like; XO=YES; dist=2.5; ctx=5; burden=0
arxiv_2402.18619_p28_256_214,borderline,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist20-40,"STRUCTURAL_MATCH (same config as YES, different case_type)","BORDERLINE (same structural config, judgment=YES, different case_type)","YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=ambiguous_fragment; XO=YES; dist=35.7; ctx=5; burden=0
arxiv_2402.18619_p12_180_706,A_candidate,YES,FIG=YES|EXTENT|VR=below|XO=YES|dist40+,NONE (matches YES pattern),N/A (candidate),"YES_FAMILY (judgment=YES, structurally comparable)",TRUE (case_type needed to distinguish from counterexamples),MEDIUM (requires broader family definition),doc=arxiv_2402.18619; case_type=caption_like; XO=YES; dist=45.7; ctx=5; burden=0
