case_id,document_id,problem_type,G1,G2,G3,G4,G5,PRIMARY_GAP,SECONDARY_GAP,EVIDENCE_AVAILABLE,EVIDENCE_SUFFICIENT_FOR_HUMAN,CURRENT_EVIDENCE_FUNCTIONS_AVAILABLE,CLASSIFICATION_CONFIDENCE,CLASSIFICATION_BASIS,CLASSIFICATION_SOURCE
IS11-AMB-135,is11_efficientnet,table_column_boundary,,,,YES,,G4,G2,UNKNOWN,UNKNOWN,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F7_ALIGNMENT,HIGH,IS-01/IS-02 binary heuristic false-triggers; discriminative evidence (left_alignment_group=10) exists in frozen P2 but IS-11 consumer never queries it,"DCE-06: TLD detection failure (G2 secondary); DCE-05: consumer doesn't use P2 when TLD fails; Boundary audit: 100% evidence exists, 64% not consumed"
IS11-AMB-130,is11_efficientnet,table_header_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-262,is11_efficientnet,table_column_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-313,is11_efficientnet,table_header_boundary,,YES,,,,G2,G4,PARTIAL,NO,F1_LEXICAL+F2_F3_F4_F5_SPATIAL+F11_STRUCTURE_CONTEXT,HIGH,"Evidence exists (P1 text, P2 geometry) but TLD did not detect table → column relation not organized",Discourse audit: 17/17 EVIDENCE_ORG_GAP; DCE06: TLD detection failure
IS11-AMB-375,is11_med_001,prose_sentence_boundary,,,,,YES,G5,G3,PARTIAL,YES,F1_LEXICAL+F1_LEXICAL_PATTERN,HIGH,period+cap derivable but 'text unit' (sentence vs paragraph) undefined — genuine standard/semantic gap,4/4 disagreements: STANDARD_GAP
IS11-AMB-380,is11_med_001,figure_label_boundary,,YES,,,,G2,,PARTIAL,YES,F1_LEXICAL+F11_STRUCTURE_CONTEXT,MEDIUM,Figure labels (RBF/Matérn) in figure structure not detected — TLD/figure structure missing,Discourse audit: figure different items
IS11-AMB-401,is11_med_001,figure_axis_tick,,YES,,,,G2,,PARTIAL,YES,F1_LEXICAL+F11_STRUCTURE_CONTEXT,MEDIUM,Axis tick labels — no evidence class queries tick-discriminative observations (GAP_SEQUENCE + small font + numeric),CC-05b: AXIS_TICK expressible=YES but not queried
IS11-AMB-407,is11_med_001,figure_axis_tick,,YES,,,,G2,,PARTIAL,YES,F1_LEXICAL+F11_STRUCTURE_CONTEXT,MEDIUM,Axis tick labels — no evidence class queries tick-discriminative observations (GAP_SEQUENCE + small font + numeric),CC-05b: AXIS_TICK expressible=YES but not queried
IS11-AMB-409,is11_med_001,figure_axis_tick,,YES,,,,G2,,PARTIAL,YES,F1_LEXICAL+F11_STRUCTURE_CONTEXT,MEDIUM,Axis tick labels — no evidence class queries tick-discriminative observations (GAP_SEQUENCE + small font + numeric),CC-05b: AXIS_TICK expressible=YES but not queried
IS11-AMB-414,is11_med_001,figure_caption_association,,YES,,,,G2,G4,PARTIAL,YES,F1_LEXICAL+F2_F3_F4_F5_SPATIAL,HIGH,P1 text (FIG prefix) + P2 geometry (h_gap>8pt) exist but caption association evidence class not queried; IS-11 doesn't compute has_fig_prefix,CC-01: P4 8pt threshold < real caption gap 10.5-18.1pt
