case_id,task_type,case_type,judgment,e0_evidence_state,e1_evidence_state,e0_extent,e1_extent,e0_ctx_count,e1_ctx_count,overall_change,burden_e0,burden_e1,burden_delta,semantic_boundary_status,evidence_gap_type,evidence_functions_served,p1_ab_arm,p0_change_type,fig_prefix,distance_pt,vertical_relation,x_overlap,drawing_extent_present
arxiv_2402.18619_p11_72_651,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,uncertain,"UNKNOWN (extent=None, no state)",NO_VISUAL_EVIDENCE,None,None,0,5,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary),G1_OBSERVATION_COVERAGE_GAP,F1+F11,,,True,-1,none,False,False
is11_med_001_p18_325_655,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,uncertain,"UNKNOWN (extent=None, no state)",NO_VISUAL_EVIDENCE,None,None,0,5,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary),G1_OBSERVATION_COVERAGE_GAP,F1+F11,E0,MODERATE_context_state_no_extent,True,-1,none,False,False
is11_efficientnet_p2_158_372,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,uncertain,"UNKNOWN (extent=None, no state)",PRIMITIVES_NO_EXTENT,None,None,0,5,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary),G2_EVIDENCE_ORGANIZATION_GAP,F1+F6+F11,E1,MODERATE_context_state_no_extent,True,-1,none,False,False
is11_efficientnet_p3_319_69,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,uncertain,"UNKNOWN (extent=None, no state)",PRIMITIVES_NO_EXTENT,None,None,0,5,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary),G2_EVIDENCE_ORGANIZATION_GAP,F1+F6+F11,,,True,-1,none,False,False
is11_resnet_p7_321_545,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,uncertain,"UNKNOWN (extent=None, no state)",PRIMITIVES_NO_EXTENT,None,None,0,5,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary),G2_EVIDENCE_ORGANIZATION_GAP,F1+F6+F11,E1,MODERATE_context_state_no_extent,True,-1,none,False,False
arxiv_2402.18619_p10_72_729,T1_STRUCTURAL_ASSOCIATION,Type_A_negative,yes,"UNKNOWN (extent=None, no state)",EXTENT_EXISTS,None,set,0,5,EVIDENCE_ADDED,3,0,3,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,E0,MAJOR_extent_context_state,True,-1,none,False,False
arxiv_2402.18619_p17_184_561,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,5,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,E0,MODERATE_context_state,False,5.1,below,True,True
arxiv_2402.18619_p28_152_82,T1_STRUCTURAL_ASSOCIATION,subfigure_label,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,0,inside,True,True
arxiv_2402.18619_p28_207_82,T1_STRUCTURAL_ASSOCIATION,subfigure_label,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,5,5,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,True,0,inside,True,True
is11_cs_001_p5_292_225,T1_STRUCTURAL_ASSOCIATION,Type_B_negative,yes,EXTENT_EXISTS (implicit),EXTENT_EXISTS,set,set,0,5,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment),G3_FIXED_IN_E1,F1+F2+F3+F4+F5+F6,,,False,7.1,below,True,True
