case_id,document_id,document_type,problem_type,G1,G2,G3,G4,G5,PRIMARY_GAP,SECONDARY_GAP,EVIDENCE_SUFFICIENCY,BOUNDARY_STATUS,CLASSIFICATION_BASIS
DG2-FIN-001,FIN_REPORT,corporate_industry_report,toc_page_number_separation,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-002,FIN_REPORT,corporate_industry_report,committee_member_affiliation_fragmentation,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-003,FIN_REPORT,corporate_industry_report,ranking_table_7column_flat,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-004,FIN_REPORT,corporate_industry_report,bar_chart_raster_vertical_text,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
DG2-FIN-005,FIN_REPORT,corporate_industry_report,multi_year_comparison_table_spanning,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-006,FIN_REPORT,corporate_industry_report,lifecycle_table_3column,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-007,FIN_REPORT,corporate_industry_report,lifecycle_chart_raster,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
DG2-FIN-008,FIN_REPORT,corporate_industry_report,sentiment_table_4column_spanning,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-009,FIN_REPORT,corporate_industry_report,expert_category_table_5column,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-010,FIN_REPORT,corporate_industry_report,voting_demographic_table_6column_spanning,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-011,FIN_REPORT,corporate_industry_report,running_header_content_mixing,NO,NO,YES,NO,NO,G3,,INSUFFICIENT,NOT_BOUNDARY,Evidence is in source but not correctly presented in extraction; order/hierarchy/boundary lost
DG2-FIN-012,FIN_REPORT,corporate_industry_report,bar_chart_raster_axis_labels,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
DG2-FIN-013,FIN_REPORT,corporate_industry_report,unit_type_table_5column_spanning,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-014,FIN_REPORT,corporate_industry_report,ownership_type_table_4column_spanning,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-015,FIN_REPORT,corporate_industry_report,cross_category_comparison_table_10column,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-016,FIN_REPORT,corporate_industry_report,comparison_bar_chart_raster_2023_2024,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
DG2-FIN-017,FIN_REPORT,corporate_industry_report,ranking_change_arrows_fragmented,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-FIN-018,FIN_REPORT,corporate_industry_report,technology_name_vertical_split,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-MIS-001,MIS_TEXTBOOK,educational_presentation,contents_section_flat_list,NO,YES,NO,NO,NO,G2,,INSUFFICIENT,NOT_BOUNDARY,Evidence (text values) exists but table/structure not organized into usable form; column-row correspondence lost
DG2-MIS-002,MIS_TEXTBOOK,educational_presentation,figure_raster_caption_only,YES,NO,NO,NO,NO,G1,,INSUFFICIENT,NOT_BOUNDARY,Figure/chart is raster image; text labels/captions extracted but visual content not observable
