case_id,document_id,document_type,page,problem_type,failure_source,existing_evidence_available,human_judgment_available,original_failure_description
IS11-AMB-135,is11_efficientnet,academic_paper_cs,5,table_column_boundary,system_fp,"YES (P1 text + P2 geometry: left_alignment_group=10, h_gap=30.02)","YES (GT=KEEP_SEPARATE, both reviewers agreed)",system_fp
IS11-AMB-130,is11_efficientnet,academic_paper_cs,5,table_header_boundary,system_abstain,"PARTIAL (P1 text, P2 geometry; TLD=0 tables)",YES (GT=KEEP_SEPARATE),system_abstain
IS11-AMB-262,is11_efficientnet,academic_paper_cs,7,table_column_boundary,system_abstain,"PARTIAL (P1 text, P2 geometry; TLD=0 tables)",YES (GT=KEEP_SEPARATE),system_abstain
IS11-AMB-313,is11_efficientnet,academic_paper_cs,8,table_header_boundary,system_abstain,"PARTIAL (P1 text, P2 geometry; TLD=0 tables)",YES (GT=KEEP_SEPARATE),system_abstain
IS11-AMB-375,is11_med_001,academic_paper_chemistry,6,prose_sentence_boundary,system_abstain + human_disagreement,PARTIAL (P1 text; period+cap derivable),"YES (Reviewer A=KS, B=MERGE, adjudicated KS)",system_abstain + human_disagreement
IS11-AMB-380,is11_med_001,academic_paper_chemistry,13,figure_label_boundary,system_abstain,PARTIAL (P1 text; TLD=0 tables),YES (GT=KEEP_SEPARATE),system_abstain
IS11-AMB-401,is11_med_001,academic_paper_chemistry,19,figure_axis_tick,system_abstain,PARTIAL (P1 text; TLD=0 tables),YES (GT=KEEP_SEPARATE),system_abstain
IS11-AMB-407,is11_med_001,academic_paper_chemistry,19,figure_axis_tick,system_abstain,PARTIAL (P1 text; TLD=0 tables),YES (GT=KEEP_SEPARATE),system_abstain
IS11-AMB-409,is11_med_001,academic_paper_chemistry,19,figure_axis_tick,system_abstain,PARTIAL (P1 text; TLD=0 tables),YES (GT=KEEP_SEPARATE),system_abstain
IS11-AMB-414,is11_med_001,academic_paper_chemistry,20,figure_caption_association,system_abstain (GT=MERGE missed),PARTIAL (P1 text: FIG prefix; P2 geometry: h_gap=18.11; NTB=0 vector),"YES (GT=MERGE, both reviewers agreed)",system_abstain (GT=MERGE missed)
IS11-AMB-418,is11_med_001,academic_paper_chemistry,20,prose_sentence_boundary,system_abstain + human_disagreement,PARTIAL (P1 text; period+cap),"YES (A=KS, B=MERGE, adjudicated KS)",system_abstain + human_disagreement
IS11-AMB-422,is11_med_001,academic_paper_chemistry,24,figure_caption_association,system_abstain (GT=MERGE missed),PARTIAL (P1 text: FIG prefix; P2 geometry: h_gap=10.47; NTB=0 vector),"YES (GT=MERGE, both reviewers agreed)",system_abstain (GT=MERGE missed)
IS11-AMB-457,is11_cs_001,academic_paper_nlp,3,table_header_boundary,system_abstain (candidate_outside_table_bbox),PARTIAL (P1 text; TLD detected table but candidates outside bbox),YES (GT=KEEP_SEPARATE),system_abstain (candidate_outside_table_bbox)
IS11-AMB-462,is11_cs_001,academic_paper_nlp,3,table_header_boundary,system_abstain (candidate_outside_table_bbox),PARTIAL (P1 text; TLD detected wrong table),YES (GT=KEEP_SEPARATE),system_abstain (candidate_outside_table_bbox)
IS11-AMB-467,is11_cs_001,academic_paper_nlp,3,table_column_boundary,system_abstain (candidate_outside_table_bbox),PARTIAL (P1 text; TLD detected table but candidates outside bbox),YES (GT=KEEP_SEPARATE),system_abstain (candidate_outside_table_bbox)
IS11-AMB-483,is11_cs_001,academic_paper_nlp,3,table_column_boundary,system_abstain (candidate_outside_table_bbox),PARTIAL (P1 text; TLD detected table but candidates outside bbox),YES (GT=KEEP_SEPARATE),system_abstain (candidate_outside_table_bbox)
IS11-AMB-505,is11_cs_001,academic_paper_nlp,3,table_column_boundary,system_abstain (candidate_outside_table_bbox),PARTIAL (P1 text; TLD detected table but candidates outside bbox),YES (GT=KEEP_SEPARATE),system_abstain (candidate_outside_table_bbox)
IS11-AMB-514,is11_cs_001,academic_paper_nlp,3,table_column_boundary,system_abstain (candidate_outside_table_bbox),PARTIAL (P1 text; TLD detected table but candidates outside bbox),YES (GT=KEEP_SEPARATE),system_abstain (candidate_outside_table_bbox)
IS11-AMB-519,is11_cs_001,academic_paper_nlp,3,prose_sentence_boundary,system_abstain + human_disagreement,PARTIAL (P1 text; period+cap),"YES (A=KS, B=MERGE, adjudicated KS)",system_abstain + human_disagreement
IS11-AMB-005,is11_resnet,academic_paper_cs,1,prose_sentence_boundary,human_disagreement (system resolved),YES (TLD correct: different_cell=True; period+cap),"YES (A=KS, B=MERGE, adjudicated KS)",human_disagreement (system resolved)
IS11-AMB-024,is11_resnet,academic_paper_cs,6,table_column_boundary,resolved (TLD correct),YES (TLD: different_cell=True),YES (GT=KEEP_SEPARATE),resolved (TLD correct)
IS11-AMB-034,is11_resnet,academic_paper_cs,6,table_column_boundary,resolved (TLD correct),YES (TLD: different_cell=True),YES (GT=KEEP_SEPARATE),resolved (TLD correct)
IS11-AMB-074,is11_resnet,academic_paper_cs,8,table_column_boundary,resolved (TLD correct),YES (TLD: different_cell=True),YES (GT=KEEP_SEPARATE),resolved (TLD correct)
IS11-AMB-346,is11_efficientnet,academic_paper_cs,9,table_column_boundary,resolved (TLD correct),YES (TLD: different_cell=True),YES (GT=KEEP_SEPARATE),resolved (TLD correct)
IS11-AMB-350,is11_efficientnet,academic_paper_cs,9,table_column_boundary,resolved (TLD correct),YES (TLD: different_cell=True),YES (GT=KEEP_SEPARATE),resolved (TLD correct)
IS11-AMB-522,is11_cs_001,academic_paper_nlp,4,table_header_boundary,resolved (TLD correct),YES (TLD: different_cell=True),YES (GT=KEEP_SEPARATE),resolved (TLD correct)
IS11-AMB-530,is11_cs_001,academic_paper_nlp,5,table_column_boundary,resolved (TLD correct),YES (TLD: different_cell=True),YES (GT=KEEP_SEPARATE),resolved (TLD correct)
IS11-AMB-032,is11_resnet,academic_paper_cs,6,table_column_boundary,"resolved (TLD correct, P722 UNKNOWN)",YES (TLD: different_cell=True; but P722 participant couldn't verify from geometry alone),YES (GT=KEEP_SEPARATE),"resolved (TLD correct, P722 UNKNOWN)"
IS11-AMB-052,is11_resnet,academic_paper_cs,7,table_column_boundary,resolved (baseline B),"PARTIAL (TLD=0 tables, but IS-01/IS-02 resolved)",YES (GT=KEEP_SEPARATE),resolved (baseline B)
IS11-AMB-163,is11_efficientnet,academic_paper_cs,6,table_column_boundary,resolved (baseline B),PARTIAL (TLD=0 tables),YES (GT=KEEP_SEPARATE),resolved (baseline B)
IS11-AMB-267,is11_efficientnet,academic_paper_cs,7,table_column_boundary,resolved (baseline B),PARTIAL (TLD=0 tables),YES (GT=KEEP_SEPARATE),resolved (baseline B)
IS11-AMB-318,is11_efficientnet,academic_paper_cs,8,table_column_boundary,resolved (baseline B),PARTIAL (TLD=0 tables),YES (GT=KEEP_SEPARATE),resolved (baseline B)
P3-INCIDENT-1,PH3-MED-001,academic_paper_medical_physics,19,figure_axis_tick_detection,implementation_error (OBS-C bug),YES (ground-truth ticks 0.70/0.75/0.80/0.85/0.90),YES (Phase 2 human-verified ticks),implementation_error (OBS-C bug)
P3-AMB-018,PH3-ASTRO-001,academic_paper_astrophysics,6,header_contamination_table_fp,IS-11 over-detection (header as table row),YES (P1 text: letter-spaced header; P2 geometry: page-top y),"NO (frozen-baseline finding, recorded only)",IS-11 over-detection (header as table row)
P3-AMB-019,PH3-ASTRO-001,academic_paper_astrophysics,6,header_contamination_table_fp,IS-11 over-detection (header as table row),YES (P1 text: letter-spaced header; P2 geometry: page-top y),NO (frozen-baseline finding),IS-11 over-detection (header as table row)
P3-AMB-089,PH3-EARTH-001,academic_paper_astrophysics,10,author_affiliation_table_fp,IS-11 over-detection (affiliation as table),YES (P1 text: author affiliation),NO (frozen-baseline finding),IS-11 over-detection (affiliation as table)
