case_id,boundary_type,current_evidence,missing_evidence,evidence_source,expansion_level,human_cost,semantic_boundary,expansion_status,reusable_expansion_pattern,notes
IS11-AMB-375,B4 (evidence provided but insufficient; more may help partially),"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",MISSING_DOCUMENT_CONTEXT (page-level section context not organized),E2 (page_context exists in document but not organized into evidence),E2 (reorganizing existing evidence may partially resolve),UNKNOWN,PARTIAL (conditional G5 from boundary structure research),CONDITIONAL,PATTERN_CANDIDATE: Textual boundary cases may benefit from page_context reorganization,task=Text-Text Boundary Decision (T2); problem=prose_sentence_boundary; G5=CONDITIONAL_EVIDENCE_BOUNDARY; cluster=TEXTUAL_TO_SEMANTIC; semantic_dep=REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases); more_struct=MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — pa
IS11-AMB-418,B4 (evidence provided but insufficient; more may help partially),"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",MISSING_DOCUMENT_CONTEXT (page-level section context not organized),E2 (page_context exists in document but not organized into evidence),E2 (reorganizing existing evidence may partially resolve),UNKNOWN,PARTIAL (conditional G5 from boundary structure research),CONDITIONAL,PATTERN_CANDIDATE: Textual boundary cases may benefit from page_context reorganization,task=Text-Text Boundary Decision (T2); problem=prose_sentence_boundary; G5=CONDITIONAL_EVIDENCE_BOUNDARY; cluster=TEXTUAL_TO_SEMANTIC; semantic_dep=REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases); more_struct=MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — pa
IS11-AMB-519,B4 (evidence provided but insufficient; more may help partially),"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",MISSING_DOCUMENT_CONTEXT (page-level section context not organized),E2 (page_context exists in document but not organized into evidence),E2 (reorganizing existing evidence may partially resolve),UNKNOWN,PARTIAL (conditional G5 from boundary structure research),CONDITIONAL,PATTERN_CANDIDATE: Textual boundary cases may benefit from page_context reorganization,task=Text-Text Boundary Decision (T2); problem=prose_sentence_boundary; G5=CONDITIONAL_EVIDENCE_BOUNDARY; cluster=TEXTUAL_TO_SEMANTIC; semantic_dep=REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases); more_struct=MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — pa
IS11-AMB-005,B4 (evidence provided but insufficient; more may help partially),"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",MISSING_DOCUMENT_CONTEXT (page-level section context not organized),E2 (page_context exists in document but not organized into evidence),E2 (reorganizing existing evidence may partially resolve),UNKNOWN,PARTIAL (conditional G5 from boundary structure research),CONDITIONAL,PATTERN_CANDIDATE: Textual boundary cases may benefit from page_context reorganization,task=Text-Text Boundary Decision (T2); problem=prose_sentence_boundary; G5=CONDITIONAL_EVIDENCE_BOUNDARY; cluster=TEXTUAL_TO_SEMANTIC; semantic_dep=REFERENCE_CONTEXT (partially resolvable) + AUTHOR_NAME_RECOGNITION (for sub-cases); more_struct=MORE_STRUCTURAL_EVIDENCE_MAY_SOLVE (partially — pa
IND-AMB-033,B5 (structural evidence has ceiling),"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",MISSING_SEMANTIC_INFORMATION (author-name recognition requires world knowledge),E3 (not in current system; requires world knowledge),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,NONE,task=Text-Text Boundary Decision (T2); problem=reference_list_author_title; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=TEXTUAL_TO_SEMANTIC; semantic_dep=AUTHOR_NAME_RECOGNITION — requires external world knowledge about names; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
IND-AMB-049,B5 (structural evidence has ceiling),"period+capital pattern (F1 LEXICAL), text reconstruction (F6), same_y context",MISSING_SEMANTIC_INFORMATION (author-name recognition requires world knowledge),E3 (not in current system; requires world knowledge),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,NONE,task=Text-Text Boundary Decision (T2); problem=reference_list_author_title; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=TEXTUAL_TO_SEMANTIC; semantic_dep=AUTHOR_NAME_RECOGNITION — requires external world knowledge about names; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
MA-UNC-2,B5 (structural evidence has ceiling),"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",MISSING_SEMANTIC_INFORMATION (caption vs reference identity),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,PATTERN_CANDIDATE: Spatial-to-semantic cases are genuine G5 (no expansion possible),task=Text-Drawing Association (T1); problem=text_drawing_association; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=SPATIAL_TO_SEMANTIC; semantic_dep=TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
MA-UNC-5,B5 (structural evidence has ceiling),"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",MISSING_SEMANTIC_INFORMATION (caption vs reference identity),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,PATTERN_CANDIDATE: Spatial-to-semantic cases are genuine G5 (no expansion possible),task=Text-Drawing Association (T1); problem=text_drawing_association; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=SPATIAL_TO_SEMANTIC; semantic_dep=TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
MA-UNC-6,B5 (structural evidence has ceiling),"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",MISSING_SEMANTIC_INFORMATION (caption vs reference identity),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,PATTERN_CANDIDATE: Spatial-to-semantic cases are genuine G5 (no expansion possible),task=Text-Drawing Association (T1); problem=text_drawing_association; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=SPATIAL_TO_SEMANTIC; semantic_dep=TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
MA-UNC-7,B5 (structural evidence has ceiling),"text content (F1 LEXICAL), drawing extent (F2 SPATIAL_REFERENCE), proximity (F3), positional context (F4), alignment (F5), same_y context (F6)",MISSING_SEMANTIC_INFORMATION (caption vs reference identity),E3 (semantic text understanding not in current system),E4 (even more structural evidence cannot resolve; genuine semantic boundary),UNKNOWN,YES (genuine G5 from boundary structure research),NOT_SUPPORTED,PATTERN_CANDIDATE: Spatial-to-semantic cases are genuine G5 (no expansion possible),task=Text-Drawing Association (T1); problem=text_drawing_association; G5=CONFIRMED_EVIDENCE_BOUNDARY; cluster=SPATIAL_TO_SEMANTIC; semantic_dep=TEXT_SEMANTIC_ROLE — requires understanding whether text describes or references the drawing; more_struct=STRUCTURAL_EVIDENCE_NOT_SUFFICIENT
