case_id,human_judgment,evidence_id,provenance_status,evidence_configuration,cross_case_match,judgment_consistency,human_added_information,added_information_type,case_specific_or_reusable,reusable_signal_candidate,free_text_required,semantic_label_required,rule_authoring_required,evidence_distillation_level,notes
is11_efficientnet_p4_55_218,YES,text_id:is11_efficientnet_p4_55_218|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=NO; n=5),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_efficientnet; case_type=caption_like; FIG=YES; VR=below; XO=NO; group_n=5
is11_efficientnet_p8_55_213,YES,text_id:is11_efficientnet_p8_55_213|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=above;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+above+XO=NO; n=2),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=is11_efficientnet; case_type=caption_like; FIG=YES; VR=above; XO=NO; group_n=2
is11_resnet_p6_478_168,YES,text_id:is11_resnet_p6_478_168|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=is11_resnet; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
is11_med_001_p13_85_307,YES,text_id:is11_med_001_p13_85_307|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=NO; n=5),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=NO; group_n=5
is11_resnet_p2_87_158,YES,text_id:is11_resnet_p2_87_158|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_resnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_efficientnet_p8_328_261,YES,text_id:is11_efficientnet_p8_328_261|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=inside;XO=YES;EXT=YES;state=EXTENT_EXISTS,NO (unique config),N/A (single case),A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (single instance),FALSE,FALSE,FALSE,D1,doc=is11_efficientnet; case_type=Type_B_negative; FIG=NO; VR=inside; XO=YES; group_n=1
is11_efficientnet_p3_319_69,UNCERTAIN,text_id:is11_efficientnet_p3_319_69|drawing:PRIMITIVES_ONLY,PROVENANCE_PARTIAL (drawing extent missing),case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=PRIMITIVES_NO_EXTENT,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=3),CONSISTENT (all=uncertain),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_efficientnet; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=3
arxiv_2402.18619_p15_498_182,UNCERTAIN,text_id:arxiv_2402.18619_p15_498_182|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=inside;XO=NO;EXT=YES;state=EXTENT_EXISTS,NO (unique config),N/A (single case),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=arxiv_2402.18619; case_type=Type_B_negative; FIG=NO; VR=inside; XO=NO; group_n=1
is11_med_001_p16_85_484,YES,text_id:is11_med_001_p16_85_484|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=NO; n=5),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=NO; group_n=5
arxiv_2402.18619_p14_72_243,YES,text_id:arxiv_2402.18619_p14_72_243|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
