Dimension,Academic,Biotech_Manual,Domain2_Finance_Education,Structural_Pattern
Total cases,70,37,35,
G1 (count),10,4,8,All domains: same gap type
G1 (%),14.3%,10.8%,22.9%,
G2 (count),25,28,17,All domains: same gap type
G2 (%),35.7%,75.7%,48.6%,
G3 (count),15,5,10,All domains: same gap type
G3 (%),21.4%,13.5%,28.6%,
G4 (count),7,0,0,All domains: same gap type
G4 (%),10.0%,0.0%,0.0%,
G5 (count),13,0,0,All domains: same gap type
G5 (%),18.6%,0.0%,0.0%,
Boundary,13,0,0,Academic only
New Gap (G6),0,0,0,0 in ALL domains
Indeterminate,7,0,0,Academic only
