case_id,case_type,judgment,e0_extent,e1_extent,e0_spatial,e1_spatial,e0_ctx_count,e1_ctx_count,e0_evidence_state,e1_evidence_state,overall_change,burden_e0,burden_e1,burden_delta,semantic_boundary_status
is11_efficientnet_p4_55_218,caption_like,yes,set,set,33.7,33.7,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p8_55_213,caption_like,yes,set,set,19.9,19.9,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p6_478_168,ambiguous_fragment,yes,set,set,25.1,25.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p13_85_307,caption_like,yes,set,set,32.1,32.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p2_87_158,caption_like,yes,set,set,16.1,16.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p8_328_261,Type_B_negative,yes,set,set,0,0,0,3,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment)
is11_efficientnet_p3_319_69,Type_A_negative,uncertain,None,None,-1,-1,0,5,"UNKNOWN (extent=None, no state)",PRIMITIVES_NO_EXTENT,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary)
arxiv_2402.18619_p15_498_182,Type_B_negative,uncertain,set,set,0,0,0,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,0,1,POSSIBLE_SEMANTIC_BOUNDARY
is11_med_001_p16_85_484,caption_like,yes,set,set,15.3,15.3,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p14_72_243,caption_like,yes,set,set,8.5,8.5,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p17_184_561,Type_B_negative,yes,set,set,5.1,5.1,0,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment)
arxiv_2402.18619_p24_72_646,caption_like,yes,set,set,53.1,53.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p8_50_328,caption_like,yes,set,set,-265.2,-265.2,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,1,1,0,N/A (definitive judgment)
arxiv_2402.18619_p28_457_234,ambiguous_fragment,yes,set,set,55.2,55.2,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p17_121_581,caption_like,yes,set,set,24.5,24.5,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p18_346_73,Type_B_negative,uncertain,set,set,-9.7,-9.7,0,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,1,0,POSSIBLE_SEMANTIC_BOUNDARY (minimal burden)
is11_efficientnet_p8_307_390,caption_like,yes,set,set,-156.6,-156.6,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,1,1,0,N/A (definitive judgment)
arxiv_2402.18619_p28_479_214,ambiguous_fragment,yes,set,set,35.7,35.7,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p4_66_331,Type_A_negative,uncertain,None,set,-1,0,0,5,"UNKNOWN (extent=None, no state)",EXTENT_EXISTS,EVIDENCE_ADDED,3,0,3,POSSIBLE_SEMANTIC_BOUNDARY
is11_cs_001_p5_292_225,Type_B_negative,yes,set,set,7.1,7.1,0,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment)
is11_efficientnet_p6_511_629,ambiguous_fragment,yes,set,set,3.2,3.2,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p10_132_629,ambiguous_fragment,yes,set,set,56.9,56.9,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p1_309_305,caption_like,yes,set,set,2.5,2.5,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p19_147_496,ambiguous_fragment,uncertain,set,set,56.4,56.4,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,POSSIBLE_SEMANTIC_BOUNDARY
arxiv_2402.18619_p28_256_214,ambiguous_fragment,yes,set,set,35.7,35.7,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p12_180_706,caption_like,yes,set,set,45.7,45.7,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p26_327_253,ambiguous_fragment,uncertain,set,set,38.8,38.8,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,POSSIBLE_SEMANTIC_BOUNDARY
arxiv_2402.18619_p19_339_297,ambiguous_fragment,no,set,set,56.8,56.8,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p8_467_415,ambiguous_fragment,no,set,set,25.5,25.5,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p4_307_448,caption_like,yes,set,set,6.9,6.9,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p18_432_93,ambiguous_fragment,yes,set,set,0,0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_cs_001_p4_108_225,caption_like,yes,set,set,7.0,7.0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p6_309_157,caption_like,yes,set,set,14.1,14.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
is11_resnet_p5_50_392,caption_like,yes,set,set,2.7,2.7,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p28_207_82,subfigure_label,yes,set,set,0,0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p10_72_581,caption_like,yes,set,set,8.3,8.3,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p4_309_134,reference_like,yes,set,set,32.1,32.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p7_55_455,caption_like,yes,set,set,-220.6,-220.6,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,1,1,0,N/A (definitive judgment)
is11_cs_001_p5_108_225,caption_like,yes,set,set,7.1,7.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p28_458_160,subfigure_label,yes,set,set,0,0,2,2,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p4_464_620,ambiguous_fragment,uncertain,set,set,38.4,38.4,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,POSSIBLE_SEMANTIC_BOUNDARY
is11_med_001_p9_85_321,caption_like,yes,set,set,40.4,40.4,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p19_85_454,caption_like,yes,set,set,40.0,40.0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
is11_med_001_p20_85_340,caption_like,yes,set,set,34.6,34.6,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p18_325_655,Type_A_negative,uncertain,None,None,-1,-1,0,5,"UNKNOWN (extent=None, no state)",NO_VISUAL_EVIDENCE,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary)
arxiv_2402.18619_p28_152_82,subfigure_label,yes,set,set,0,0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
is11_med_001_p11_85_291,caption_like,yes,set,set,15.3,15.3,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p2_158_372,Type_A_negative,uncertain,None,None,-1,-1,0,5,"UNKNOWN (extent=None, no state)",PRIMITIVES_NO_EXTENT,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary)
is11_efficientnet_p6_307_629,caption_like,yes,set,set,3.3,3.3,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p18_134_293,caption_like,yes,set,set,49.4,49.4,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p15_498_107,Type_A_negative,uncertain,None,set,-1,264.2,0,5,"UNKNOWN (extent=None, no state)",EXTENT_EXISTS,EVIDENCE_ADDED,3,0,3,POSSIBLE_SEMANTIC_BOUNDARY
arxiv_2402.18619_p28_107_234,caption_like,yes,set,set,55.2,55.2,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p6_79_415,Type_B_negative,uncertain,set,set,21.9,21.9,0,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,0,1,POSSIBLE_SEMANTIC_BOUNDARY
is11_efficientnet_p1_307_364,caption_like,yes,set,set,3.3,3.3,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p10_183_252,ambiguous_fragment,yes,set,set,18.4,18.4,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p15_85_574,caption_like,yes,set,set,46.0,46.0,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p19_72_733,caption_like,yes,set,set,33.1,33.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_efficientnet_p4_188_461,ambiguous_fragment,no,set,set,20.1,20.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p28_152_95,subfigure_label,yes,set,set,0,0,2,2,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p8_85_211,caption_like,yes,set,set,22.9,22.9,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_med_001_p23_85_395,caption_like,yes,set,set,15.3,15.3,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p4_50_633,caption_like,yes,set,set,51.6,51.6,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
arxiv_2402.18619_p17_72_184,caption_like,yes,set,set,8.5,8.5,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p7_321_545,Type_A_negative,uncertain,None,None,-1,-1,0,5,"UNKNOWN (extent=None, no state)",PRIMITIVES_NO_EXTENT,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary)
arxiv_2402.18619_p11_72_651,Type_A_negative,uncertain,None,None,-1,-1,0,5,"UNKNOWN (extent=None, no state)",NO_VISUAL_EVIDENCE,EVIDENCE_ADDED,3,2,1,EVIDENCE_INSUFFICIENT (not semantic boundary)
is11_resnet_p4_320_146,ambiguous_fragment,yes,set,set,20.1,20.1,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_CORRECTED,0,0,0,N/A (definitive judgment)
is11_resnet_p5_359_225,ambiguous_fragment,no,set,set,17.8,17.8,5,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,UNCHANGED,0,0,0,N/A (definitive judgment)
is11_resnet_p1_435_316,Type_B_negative,yes,set,set,13.5,13.5,0,5,EXTENT_EXISTS (implicit),EXTENT_EXISTS,EVIDENCE_ADDED,1,0,1,N/A (definitive judgment)
