case_id,document_id,case_type,g5_boundary,human_required_evidence,requirement_type,requirement_dimensions,R1_existing,R2_not_packaged,R3_derivable,R4_document_context,R5_semantic,R6_unresolvable,boundary_type,cross_case_pattern,reusable,boundary_level,notes
IND-AMB-033,ind_arxiv_bio2,reference_list_author_title,MISSING_SEMANTIC_INFORMATION (author-name recognition requires world knowledge),Human needs world knowledge: is 'Le.' a surname (reference list continuation) or a sentence fragment?,R5_SEMANTIC_KNOWLEDGE,ENTITY_CONTEXT + SEMANTIC_UNDERSTANDING,YES (lexical pattern,PARTIAL (page_contex,PARTIAL (page sectio,YES (page-level sect,YES (world knowledge,YES (pattern is iden,AUTHOR_NAME_RECOGNITION,"P3: AUTHOR_NAME_RECOGNITION (2 cases, 1 docs, CONDITIONAL)",CONDITIONAL,B2 (DICE can provide context but Human s,Lexical pattern is complete but cannot distinguish author na
IND-AMB-049,ind_arxiv_bio2,reference_list_author_title,MISSING_SEMANTIC_INFORMATION (author-name recognition requires world knowledge),Human needs world knowledge: is 'Le.' a surname (reference list continuation) or a sentence fragment?,R5_SEMANTIC_KNOWLEDGE,ENTITY_CONTEXT + SEMANTIC_UNDERSTANDING,YES (lexical pattern,PARTIAL (page_contex,PARTIAL (page sectio,YES (page-level sect,YES (world knowledge,YES (pattern is iden,AUTHOR_NAME_RECOGNITION,"P3: AUTHOR_NAME_RECOGNITION (2 cases, 1 docs, CONDITIONAL)",CONDITIONAL,B2 (DICE can provide context but Human s,Lexical pattern is complete but cannot distinguish author na
MA-UNC-2,arxiv_2402.18619,text_drawing_association,MISSING_SEMANTIC_INFORMATION (caption vs reference identity),"Human needs to determine text's semantic role: is this a caption describing the drawing, or an in-text reference citing it?",R5_SEMANTIC_KNOWLEDGE,LOCAL_CONTEXT + SEMANTIC_UNDERSTANDING,YES (structural evid,NO,NO,PARTIAL (local text ,YES (semantic text u,YES (CE2 proves: ide,CAPTION_VS_REFERENCE,"P1: CAPTION_VS_REFERENCE (10 cases, 3 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,"Structural evidence (proximity, alignment, context) is compl"
MA-UNC-5,arxiv_2402.18619,text_drawing_association,MISSING_SEMANTIC_INFORMATION (caption vs reference identity),"Human needs to determine text's semantic role: is this a caption describing the drawing, or an in-text reference citing it?",R5_SEMANTIC_KNOWLEDGE,LOCAL_CONTEXT + SEMANTIC_UNDERSTANDING,YES (structural evid,NO,NO,PARTIAL (local text ,YES (semantic text u,YES (CE2 proves: ide,CAPTION_VS_REFERENCE,"P1: CAPTION_VS_REFERENCE (10 cases, 3 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,"Structural evidence (proximity, alignment, context) is compl"
MA-UNC-6,arxiv_2402.18619,text_drawing_association,MISSING_SEMANTIC_INFORMATION (caption vs reference identity),"Human needs to determine text's semantic role: is this a caption describing the drawing, or an in-text reference citing it?",R5_SEMANTIC_KNOWLEDGE,LOCAL_CONTEXT + SEMANTIC_UNDERSTANDING,YES (structural evid,NO,NO,PARTIAL (local text ,YES (semantic text u,YES (CE2 proves: ide,CAPTION_VS_REFERENCE,"P1: CAPTION_VS_REFERENCE (10 cases, 3 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,"Structural evidence (proximity, alignment, context) is compl"
MA-UNC-7,is11_resnet,text_drawing_association,MISSING_SEMANTIC_INFORMATION (caption vs reference identity),"Human needs to determine text's semantic role: is this a caption describing the drawing, or an in-text reference citing it?",R5_SEMANTIC_KNOWLEDGE,LOCAL_CONTEXT + SEMANTIC_UNDERSTANDING,YES (structural evid,NO,NO,PARTIAL (local text ,YES (semantic text u,YES (CE2 proves: ide,CAPTION_VS_REFERENCE,"P1: CAPTION_VS_REFERENCE (10 cases, 3 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,"Structural evidence (proximity, alignment, context) is compl"
MA-UNC-11,arxiv_2402.18619,text_drawing_association,MISSING_SEMANTIC_INFORMATION (caption vs reference identity),"Human needs to determine text's semantic role: is this a caption describing the drawing, or an in-text reference citing it?",R5_SEMANTIC_KNOWLEDGE,LOCAL_CONTEXT + SEMANTIC_UNDERSTANDING,YES (structural evid,NO,NO,PARTIAL (local text ,YES (semantic text u,YES (CE2 proves: ide,CAPTION_VS_REFERENCE,"P1: CAPTION_VS_REFERENCE (10 cases, 3 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,"Structural evidence (proximity, alignment, context) is compl"
PH02-SPECIFICITY-VALUE-COL,is11_resnet,column_membership_specificity,MISSING_SEMANTIC_INFORMATION (column type: row-number vs data-value),"Human needs to understand what the numbers MEAN: are they row indices (1,2,3...) or data values (temperatures, accuracy)?",R5_SEMANTIC_KNOWLEDGE,ENTITY_CONTEXT + SEMANTIC_UNDERSTANDING,YES (column alignmen,NO,NO,PARTIAL (column head,YES (semantic conten,YES (alignment is id,COLUMN_SEMANTIC_TYPE,"P4: COLUMN_SEMANTIC_TYPE (2 cases, 2 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,Alignment evidence is complete but cannot distinguish column
PH02-SPECIFICITY-CS001,is11_cs_001,column_membership_specificity,MISSING_SEMANTIC_INFORMATION (column type: row-number vs data-value),"Human needs to understand what the numbers MEAN: are they row indices (1,2,3...) or data values (temperatures, accuracy)?",R5_SEMANTIC_KNOWLEDGE,ENTITY_CONTEXT + SEMANTIC_UNDERSTANDING,YES (column alignmen,NO,NO,PARTIAL (column head,YES (semantic conten,YES (alignment is id,COLUMN_SEMANTIC_TYPE,"P4: COLUMN_SEMANTIC_TYPE (2 cases, 2 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,Alignment evidence is complete but cannot distinguish column
arxiv_2402.18619_p15_498_182,arxiv_2402.18619,Type_B_negative,MISSING_SEMANTIC_INFORMATION (text role: axis label vs annotation vs body text),"Human needs to determine semantic role of short text near drawing: axis label, annotation, or body text fragment?",R5_SEMANTIC_KNOWLEDGE,LOCAL_CONTEXT + SPATIAL_RELATION + SEMANTIC_UNDERSTANDING,YES (spatial + text ,NO,NO,PARTIAL (surrounding,YES (semantic role d,YES (multiple roles ,TEXT_ROLE_AMBIGUITY,"P2: TEXT_ROLE_AMBIGUITY (4 cases, 3 docs, REUSABLE)",REUSABLE,B2 (DICE can provide context but Human s,"Type B: "", with"" near drawing — could be axis label, annotat"
